path,requests,trial,io_s,qps,wall_p50_ms,wall_p95_ms,wall_p99_ms,write_count,write_bw_MBps,write_avg_ms,write_p50_ms,write_p95_ms,write_p99_ms,sync_count
local,5,1,4.512,1.11,1060.231,1075.461,1078.258,59,722.18,74.254,73.515,79.202,80.862,59
local,5,2,4.477,1.12,1046.207,1061.461,1061.632,59,727.84,73.676,73.273,77.225,77.804,59
local,5,3,4.495,1.11,1056.511,1067.511,1068.745,59,724.98,73.967,73.441,77.393,78.368,59
remote,5,1,1.241,4.03,280.837,297.076,298.350,59,2838.43,18.892,18.137,21.926,22.832,59
remote,5,2,1.211,4.13,275.862,285.872,285.933,59,2907.36,18.445,17.998,21.221,21.743,59
remote,5,3,1.208,4.14,263.448,290.929,291.970,59,2920.30,18.363,18.052,21.275,21.717,59
local,20,1,29.704,0.67,1052.758,2813.642,7139.929,560,1033.03,51.911,48.941,73.473,74.810,560
local,20,2,29.566,0.68,1057.531,2810.179,7203.780,560,1037.88,51.668,48.746,73.174,76.502,560
local,20,3,29.184,0.69,1049.009,2795.660,7085.802,560,1051.53,50.997,48.344,72.853,75.960,560
remote,20,1,10.615,1.88,319.519,1065.420,2661.880,560,2997.91,17.887,17.334,20.860,21.284,560
remote,20,2,10.881,1.84,324.972,1093.907,2741.935,560,2922.66,18.348,17.823,21.119,22.292,560
remote,20,3,10.754,1.86,322.403,1067.190,2696.041,560,2958.42,18.126,17.449,21.102,21.957,560
