size_bytes,trial,trace_sha256,case_id,mode,target,operations,produce,reuse,evict,local,remote,miss,miss_rate,block_hit_rate,request_count,request_hit_rate,p50_latency_us,p95_latency_us,p99_latency_us,request_p50_latency_us,request_p95_latency_us,storage_wait_us,operation_rate,cpu_utilization_pct
131072,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,513.95,1002.98,3666.762,3132.341,4679.662,96177.617,1538.819578,
131072,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,157.28,245.21,327.42,915.242,990.301,59544.433,2485.538824,
131072,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
131072,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,521.36,1074.52,6710.663,3486.741,5177.481,98595.026,1501.089923,
131072,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,158.68,295.971,378.37,1054.981,1219.511,58339.362,2536.880674,
131072,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,592.36,1192.871,12694.256,3476.982,4917.732,108058.538,1369.628007,
131072,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,156.93,243.83,310.42,912.672,959.3,53333.136,2775.010268,
131072,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
131072,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,519.88,1110.79,12377.936,3292.712,5146.392,102820.075,1439.407625,
131072,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,157.161,285.6,373.55,1052.799,1106.841,62079.88,2384.025227,
131072,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,519.17,1078.271,1582.601,3269.702,4770.653,97300.693,1521.058026,
131072,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,157.41,244.001,318.92,916.042,953.47,57599.968,2569.445872,
131072,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
131072,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,519.71,1127.171,2333.842,3210.272,5540.884,97179.362,1522.957107,
131072,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,159.92,292.46,381.88,1052.49,1120.09,56613.647,2614.210669,
16384,1,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,408.15,819.951,4345.831,2729.17,3480.793,85774.762,1725.449264,
16384,1,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,123.36,212.209,302.61,772.72,877.781,60405.279,2450.116984,
16384,1,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
16384,1,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,402.13,956.141,5574.883,2979.131,4108.243,94179.071,1571.47441,
16384,1,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,121.0,253.53,365.171,910.621,986.721,56392.572,2624.459122,
16384,2,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,394.43,1104.66,8987.584,2715.89,23492.011,109254.845,1354.631001,
16384,2,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,122.29,208.4,281.26,773.612,805.02,54791.354,2701.156098,
16384,2,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
16384,2,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,397.121,861.8,9681.814,2873.322,3558.492,85071.108,1739.721081,
16384,2,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,123.089,248.01,401.31,892.162,999.98,66355.18,2230.421197,
16384,3,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,406.67,900.91,2899.562,2640.431,4134.411,86696.594,1707.102819,
16384,3,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,123.34,211.88,280.56,777.66,808.51,55708.664,2656.678322,
16384,3,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
16384,3,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,388.94,921.98,4506.431,2798.13,3940.761,88319.748,1675.729419,
16384,3,654662898f16ff9d2632f86b013bf9e989212be499cefd7ae36e8d4eb9909235,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,120.83,253.06,385.0,894.81,971.68,58273.809,2539.734446,
262144,1,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,698.201,1291.55,1944.931,3963.012,5880.733,120189.867,1231.385005,
262144,1,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,195.22,279.77,344.85,1031.681,1068.01,62298.01,2375.677811,
262144,1,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
262144,1,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,692.54,1298.571,12716.526,4462.692,5983.464,125299.006,1181.174574,
262144,1,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,198.63,319.15,405.231,1158.35,1260.321,58742.894,2519.453672,
262144,2,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,687.24,1437.81,6863.343,4117.992,6237.853,115402.62,1282.466551,
262144,2,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,192.071,277.711,350.16,1027.292,1074.971,63178.905,2342.554053,
262144,2,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
262144,2,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,689.04,1390.02,12961.466,4105.243,6704.364,122805.265,1205.160056,
262144,2,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,transparent-remote,transparent,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,195.55,324.76,373.841,1168.421,1278.641,60617.294,2441.547457,
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,direct-local,direct,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,686.89,1286.091,13028.926,4127.621,6030.204,121353.129,1219.581244,
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,direct-remote,direct,remote_nof,148,52,44,52,0,148,0,0.0,0.458333,24,0.458333,192.48,278.83,328.96,1042.35,1081.58,57837.057,2558.913051,
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,no_store,no_store,,148,52,44,52,0,0,0,0.0,0.458333,24,0.458333,1000.0,1000.0,1000.0,4000.0,4000.0,0,1541.666667,
262144,3,538e8ccae268710f3c4cf4acc147babc21d42ca4156ce4f5aba8efeddf8bf3ae,transparent-local,transparent,local_nvme,148,52,44,52,148,0,0,0.0,0.458333,24,0.458333,681.971,1355.6,6517.192,4201.212,6012.923,116016.017,1275.685925,
