size_bytes,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
131072,1,local_nvme,direct,direct-local,put,52,857.070404,804.31,1065.62,1535.021
131072,1,local_nvme,direct,direct-local,get,44,1104.610045,513.95,962.471,21695.44
131072,1,local_nvme,direct,direct-local,remove,52,57.829115,56.6,62.53,92.2
131072,1,local_nvme,transparent,transparent-local,put,52,951.124519,892.4,1236.86,1641.54
131072,1,local_nvme,transparent,transparent-local,get,44,1047.162864,521.36,1011.31,15561.287
131072,1,local_nvme,transparent,transparent-local,remove,52,58.872788,57.19,65.92,83.35
131072,1,remote_nof,direct,direct-remote,put,52,949.298577,233.02,297.15,37276.047
131072,1,remote_nof,direct,direct-remote,get,44,159.566909,157.28,173.35,185.04
131072,1,remote_nof,direct,direct-remote,remove,52,60.768519,59.7,65.15,86.17
131072,1,remote_nof,transparent,transparent-remote,put,52,925.725115,274.541,356.06,33792.706
131072,1,remote_nof,transparent,transparent-remote,get,44,160.432114,158.68,173.28,184.949
131072,1,remote_nof,transparent,transparent-remote,remove,52,60.435442,59.08,68.96,85.34
131072,2,local_nvme,direct,direct-local,put,52,950.798135,902.661,1219.01,1662.401
131072,2,local_nvme,direct,direct-local,get,44,1258.323045,592.36,1212.67,15323.208
131072,2,local_nvme,direct,direct-local,remove,52,62.515788,61.11,68.82,95.93
131072,2,local_nvme,transparent,transparent-local,put,52,933.329538,859.05,1247.67,1710.811
131072,2,local_nvme,transparent,transparent-local,get,44,1163.831705,519.88,985.26,15157.828
131072,2,local_nvme,transparent,transparent-local,remove,52,59.198923,57.39,66.571,79.751
131072,2,remote_nof,direct,direct-remote,put,52,830.012423,232.83,276.82,31122.665
131072,2,remote_nof,direct,direct-remote,get,44,160.154386,156.93,170.58,202.49
131072,2,remote_nof,direct,direct-remote,remove,52,60.109558,59.17,65.82,85.64
131072,2,remote_nof,transparent,transparent-remote,put,52,998.469673,272.97,295.9,37993.958
131072,2,remote_nof,transparent,transparent-remote,get,44,159.418295,157.161,167.17,204.09
131072,2,remote_nof,transparent,transparent-remote,remove,52,60.481769,59.54,65.99,83.76
131072,3,local_nvme,direct,direct-local,put,52,912.032769,855.55,1166.53,1582.601
131072,3,local_nvme,direct,direct-local,get,44,1065.356795,519.17,768.021,23046.551
131072,3,local_nvme,direct,direct-local,remove,52,57.678654,56.22,65.67,90.09
131072,3,local_nvme,transparent,transparent-local,put,52,930.202942,855.54,1302.271,2333.842
131072,3,local_nvme,transparent,transparent-local,get,44,1039.720659,519.71,692.73,22161.1
131072,3,local_nvme,transparent,transparent-local,remove,52,58.867308,57.58,68.449,81.83
131072,3,remote_nof,direct,direct-remote,put,52,911.837615,232.77,272.69,35377.416
131072,3,remote_nof,direct,direct-remote,get,44,160.096182,157.41,167.95,191.14
131072,3,remote_nof,direct,direct-remote,remove,52,60.388077,59.41,67.62,84.26
131072,3,remote_nof,transparent,transparent-remote,put,52,889.8805,269.4,306.55,32281.786
131072,3,remote_nof,transparent,transparent-remote,get,44,163.303091,159.92,181.831,192.76
131072,3,remote_nof,transparent,transparent-remote,remove,52,60.663942,59.42,67.97,85.271
16384,1,local_nvme,direct,direct-local,put,52,744.942481,703.261,958.941,1276.061
16384,1,local_nvme,direct,direct-local,get,44,995.070705,408.15,696.361,21936.461
16384,1,local_nvme,direct,direct-local,remove,52,62.589269,60.97,70.94,86.61
16384,1,local_nvme,transparent,transparent-local,put,52,817.530462,786.131,1020.97,1361.371
16384,1,local_nvme,transparent,transparent-local,get,44,1101.6715,402.13,5092.343,20292.4
16384,1,local_nvme,transparent,transparent-local,remove,52,61.421942,59.74,72.13,91.21
16384,1,remote_nof,direct,direct-remote,put,52,995.275577,195.77,276.531,41470.0
16384,1,remote_nof,direct,direct-remote,get,44,126.299295,123.36,149.92,158.9
16384,1,remote_nof,direct,direct-remote,remove,52,59.495769,57.891,65.63,98.01
16384,1,remote_nof,transparent,transparent-remote,put,52,920.538173,234.74,259.41,35717.517
16384,1,remote_nof,transparent,transparent-remote,get,44,123.609614,121.0,136.251,148.97
16384,1,remote_nof,transparent,transparent-remote,remove,52,59.341615,58.12,66.03,82.72
16384,2,local_nvme,direct,direct-local,put,52,1144.954423,700.96,6963.043,8987.584
16384,2,local_nvme,direct,direct-local,get,44,1084.949886,394.43,3170.552,21006.151
16384,2,local_nvme,direct,direct-local,remove,52,38.065769,37.17,44.56,59.41
16384,2,local_nvme,transparent,transparent-local,put,52,764.733038,737.321,984.15,1289.28
16384,2,local_nvme,transparent,transparent-local,get,44,956.521545,397.121,642.431,14952.367
16384,2,local_nvme,transparent,transparent-local,remove,52,61.885423,60.41,76.97,83.43
16384,2,remote_nof,direct,direct-remote,put,52,889.983923,195.96,221.28,36147.937
16384,2,remote_nof,direct,direct-remote,get,44,123.870227,122.29,134.38,145.7
16384,2,remote_nof,direct,direct-remote,remove,52,58.882692,57.51,65.24,84.67
16384,2,remote_nof,transparent,transparent-remote,put,52,1110.217827,229.98,298.37,45705.741
16384,2,remote_nof,transparent,transparent-remote,get,44,125.385409,123.089,142.1,146.95
16384,2,remote_nof,transparent,transparent-remote,remove,52,59.747981,58.1,70.4,87.11
16384,3,local_nvme,direct,direct-local,put,52,736.417846,696.221,1016.971,1475.371
16384,3,local_nvme,direct,direct-local,get,44,1027.752091,406.67,951.901,23220.911
16384,3,local_nvme,direct,direct-local,remove,52,61.187962,59.94,67.91,82.91
16384,3,local_nvme,transparent,transparent-local,put,52,781.490885,736.521,1031.31,1405.78
16384,3,local_nvme,transparent,transparent-local,get,44,1011.095818,388.94,644.25,22397.67
16384,3,local_nvme,transparent,transparent-local,remove,52,61.423192,60.131,70.71,89.9
16384,3,remote_nof,direct,direct-remote,put,52,906.008269,197.53,217.43,36890.728
16384,3,remote_nof,direct,direct-remote,get,44,124.893932,123.34,134.88,142.57
16384,3,remote_nof,direct,direct-remote,remove,52,59.632712,58.44,67.57,81.0
16384,3,remote_nof,transparent,transparent-remote,put,52,956.408981,231.59,272.361,37625.668
16384,3,remote_nof,transparent,transparent-remote,get,44,123.841864,120.83,136.18,151.5
16384,3,remote_nof,transparent,transparent-remote,remove,52,59.451923,58.46,64.57,82.93
262144,1,local_nvme,direct,direct-local,put,52,1105.035673,1051.12,1433.571,1944.931
262144,1,local_nvme,direct,direct-local,get,44,1356.14675,698.201,988.66,28013.694
262144,1,local_nvme,direct,direct-local,remove,52,58.799135,57.41,68.0,80.52
262144,1,local_nvme,transparent,transparent-local,put,52,1219.684269,1169.701,1571.511,2048.691
262144,1,local_nvme,transparent,transparent-local,get,44,1336.572955,692.54,906.66,15812.248
262144,1,local_nvme,transparent,transparent-local,remove,52,58.965654,57.48,66.36,89.48
262144,1,remote_nof,direct,direct-remote,put,52,970.579096,261.84,293.85,36901.767
262144,1,remote_nof,direct,direct-remote,get,44,197.20625,195.22,214.21,217.89
262144,1,remote_nof,direct,direct-remote,remove,52,60.592731,59.47,65.76,86.5
262144,1,remote_nof,transparent,transparent-remote,put,52,897.426404,298.48,335.99,31236.785
262144,1,remote_nof,transparent,transparent-remote,get,44,200.893636,198.63,218.93,259.36
262144,1,remote_nof,transparent,transparent-remote,remove,52,62.257712,60.5,72.19,87.5
262144,2,local_nvme,direct,direct-local,put,52,1137.923596,1065.67,1492.4,2241.791
262144,2,local_nvme,direct,direct-local,get,44,1208.771886,687.24,1560.961,15339.598
262144,2,local_nvme,direct,direct-local,remove,52,58.550577,57.56,63.88,81.69
262144,2,local_nvme,transparent,transparent-local,put,52,1165.22725,1083.84,1624.001,2246.631
262144,2,local_nvme,transparent,transparent-local,get,44,1342.855318,689.04,1040.57,15684.637
262144,2,local_nvme,transparent,transparent-local,remove,52,60.150269,58.82,70.06,82.73
262144,2,remote_nof,direct,direct-remote,put,52,988.531077,261.32,294.42,37904.947
262144,2,remote_nof,direct,direct-remote,get,44,194.414568,192.071,202.56,243.44
262144,2,remote_nof,direct,direct-remote,remove,52,61.943231,60.43,68.73,92.07
262144,2,remote_nof,transparent,transparent-remote,put,52,938.342481,299.61,341.77,33327.376
262144,2,remote_nof,transparent,transparent-remote,get,44,196.919364,195.55,217.43,238.18
262144,2,remote_nof,transparent,transparent-remote,remove,52,60.750635,59.67,65.74,86.72
262144,3,local_nvme,direct,direct-local,put,52,1129.325308,1071.37,1459.501,2099.781
262144,3,local_nvme,direct,direct-local,get,44,1350.802477,686.89,1060.171,15778.008
262144,3,local_nvme,direct,direct-local,remove,52,61.402,57.541,66.36,201.86
262144,3,local_nvme,transparent,transparent-local,put,52,1159.181135,1092.96,1393.471,2139.011
262144,3,local_nvme,transparent,transparent-local,get,44,1196.661705,681.971,1520.981,15238.817
262144,3,local_nvme,transparent,transparent-local,remove,52,59.336212,57.79,66.94,86.23
262144,3,remote_nof,direct,direct-remote,put,52,886.319462,263.36,293.971,32448.526
262144,3,remote_nof,direct,direct-remote,get,44,194.41375,192.48,207.19,219.98
262144,3,remote_nof,direct,direct-remote,remove,52,61.427692,60.35,68.38,83.78
262144,3,remote_nof,transparent,transparent-remote,put,52,925.829308,296.92,385.87,32735.806
262144,3,remote_nof,transparent,transparent-remote,get,44,198.563659,196.82,210.309,223.56
262144,3,remote_nof,transparent,transparent-remote,remove,52,61.113846,59.81,69.17,92.35
65536,1,local_nvme,direct,direct-local,put,52,847.949462,795.57,1075.081,1368.95
65536,1,local_nvme,direct,direct-local,get,44,1257.628909,520.2,1010.39,16432.228
65536,1,local_nvme,direct,direct-local,remove,52,61.595231,60.44,68.28,83.19
65536,1,local_nvme,transparent,transparent-local,put,52,827.406154,772.85,1084.291,1400.971
65536,1,local_nvme,transparent,transparent-local,get,44,1086.841477,427.28,713.66,15127.497
65536,1,local_nvme,transparent,transparent-local,remove,52,57.337365,56.18,62.68,82.6
65536,1,remote_nof,direct,direct-remote,put,52,798.082519,212.44,259.121,30482.065
65536,1,remote_nof,direct,direct-remote,get,44,141.193295,138.42,156.48,177.2
65536,1,remote_nof,direct,direct-remote,remove,52,59.465769,58.59,64.69,82.4
65536,1,remote_nof,transparent,transparent-remote,put,52,912.522288,247.01,275.64,34677.256
65536,1,remote_nof,transparent,transparent-remote,get,44,138.250045,136.84,145.83,160.62
65536,1,remote_nof,transparent,transparent-remote,remove,52,59.510942,57.9,68.57,94.42
65536,2,local_nvme,direct,direct-local,put,52,799.213788,746.32,1132.561,1377.54
65536,2,local_nvme,direct,direct-local,get,44,1077.165364,441.79,727.981,15128.097
65536,2,local_nvme,direct,direct-local,remove,52,58.721923,56.749,70.22,86.44
65536,2,local_nvme,transparent,transparent-local,put,52,825.545231,778.551,1087.351,1441.661
65536,2,local_nvme,transparent,transparent-local,get,44,1013.006727,427.73,742.441,15772.528
65536,2,local_nvme,transparent,transparent-local,remove,52,57.974673,56.68,66.22,80.4
65536,2,remote_nof,direct,direct-remote,put,52,909.398731,205.441,246.38,36688.717
65536,2,remote_nof,direct,direct-remote,get,44,137.544659,136.45,144.37,161.86
65536,2,remote_nof,direct,direct-remote,remove,52,59.644096,58.43,66.34,88.57
65536,2,remote_nof,transparent,transparent-remote,put,52,828.183019,246.071,313.58,30251.135
65536,2,remote_nof,transparent,transparent-remote,get,44,139.287045,137.07,150.63,161.38
65536,2,remote_nof,transparent,transparent-remote,remove,52,59.483269,58.311,67.48,82.72
65536,3,local_nvme,direct,direct-local,put,52,793.743288,742.15,1094.051,1551.001
65536,3,local_nvme,direct,direct-local,get,44,1018.406818,445.91,687.291,15529.347
65536,3,local_nvme,direct,direct-local,remove,52,59.045769,56.79,75.78,90.34
65536,3,local_nvme,transparent,transparent-local,put,52,889.462942,841.12,1339.391,1513.961
65536,3,local_nvme,transparent,transparent-local,get,44,1085.177409,484.47,4474.052,15170.897
65536,3,local_nvme,transparent,transparent-local,remove,52,61.389442,60.53,65.67,86.45
65536,3,remote_nof,direct,direct-remote,put,52,771.087731,208.36,228.93,29384.154
65536,3,remote_nof,direct,direct-remote,get,44,139.440932,137.15,151.9,161.251
65536,3,remote_nof,direct,direct-remote,remove,52,59.426404,58.27,65.58,80.791
65536,3,remote_nof,transparent,transparent-remote,put,52,812.670212,250.74,315.57,29230.974
65536,3,remote_nof,transparent,transparent-remote,get,44,140.534159,138.91,153.05,162.07
65536,3,remote_nof,transparent,transparent-remote,remove,52,59.616942,58.42,65.42,85.14
