size_bytes,target,metric,direct_median,transparent_median,ratio_of_medians_pct,median_paired_delta_pct,min_paired_delta_pct,max_paired_delta_pct
16384,local_nvme,get_p50_us,406.67,397.121,-2.348096,-1.474948,-4.3598,0.68225
16384,local_nvme,get_p95_us,951.901,644.25,-32.319642,-32.319642,-79.737566,631.279178
16384,local_nvme,get_p99_us,21936.461,20292.4,-7.49465,-7.49465,-28.819102,-3.545257
16384,local_nvme,operation_rate,1707.102819,1675.729419,-1.837815,-1.837815,-8.923754,28.427674
16384,local_nvme,overall_p50_us,406.67,397.121,-2.348096,-1.474948,-4.3598,0.68225
16384,local_nvme,overall_p95_us,900.91,921.98,2.338746,2.338746,-21.985045,16.609529
16384,local_nvme,overall_p99_us,4345.831,5574.883,28.281173,28.281173,7.724323,55.417646
16384,local_nvme,put_p50_us,700.96,737.321,5.187315,5.788392,5.187315,11.783676
16384,local_nvme,put_p95_us,1016.971,1020.97,0.393227,1.409971,-85.866093,6.46849
16384,local_nvme,put_p99_us,1475.371,1361.371,-7.72687,-4.716847,-85.654877,6.685417
16384,local_nvme,remove_p50_us,59.94,60.131,0.318652,0.318652,-2.017386,62.52354
16384,local_nvme,remove_p95_us,67.91,72.13,6.214107,4.123104,1.677474,72.733393
16384,local_nvme,remove_p99_us,82.91,89.9,8.430829,8.430829,5.311165,40.430904
16384,local_nvme,request_p50_us,2715.89,2873.322,5.7967,5.972472,5.7967,9.158865
16384,local_nvme,request_p95_us,4134.411,3940.761,-4.683859,-4.683859,-84.852331,18.026065
16384,local_nvme,storage_wait_us,86696.594,88319.748,1.872223,1.872223,-22.135162,9.798114
16384,remote_nof,get_p50_us,123.34,121.0,-1.897195,-1.9131,-2.035025,0.653365
16384,remote_nof,get_p95_us,134.88,136.251,1.016459,0.96382,-9.117529,5.744903
16384,remote_nof,get_p99_us,145.7,148.97,2.244338,0.857927,-6.249213,6.26359
16384,remote_nof,operation_rate,2656.678322,2539.734446,-4.401883,-4.401883,-17.427164,7.115666
16384,remote_nof,overall_p50_us,123.34,121.0,-1.897195,-1.9131,-2.035025,0.653365
16384,remote_nof,overall_p95_us,211.88,253.06,19.43553,19.43553,19.006718,19.471841
16384,remote_nof,overall_p99_us,281.26,385.0,36.884022,37.225549,20.673805,42.682927
16384,remote_nof,put_p50_us,195.96,231.59,18.182282,17.360686,17.24295,19.906012
16384,remote_nof,put_p95_us,221.28,272.361,23.084328,25.263763,-6.191349,34.838214
