reuse_ratio,trial,trace_sha256,case_id,mode,target,operations,produce,reuse,evict,local,remote,miss,miss_rate,block_hit_rate,request_count,request_hit_rate,p50_latency_us,p95_latency_us,p99_latency_us,request_p50_latency_us,request_p95_latency_us,storage_wait_us,operation_rate,cpu_utilization_pct
0.0,1,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,direct-local,direct,local_nvme,192,96,0,96,192,0,0,0.0,0.0,24,0.0,86.79,861.29,1022.48,3258.121,3485.552,85081.849,2256.650534,
0.0,1,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,direct-remote,direct,remote_nof,192,96,0,96,0,192,0,0.0,0.0,24,0.0,89.109,248.311,328.63,936.521,969.511,75535.852,2541.839337,
0.0,1,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,no_store,no_store,,192,96,0,96,0,0,0,0.0,0.0,24,0.0,0.0,1000.0,1000.0,4000.0,4000.0,0,2000.0,
0.0,1,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,transparent-local,transparent,local_nvme,192,96,0,96,192,0,0,0.0,0.0,24,0.0,79.64,1097.111,1320.511,3429.502,4382.431,93906.152,2044.59448,
0.0,1,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,transparent-remote,transparent,remote_nof,192,96,0,96,0,192,0,0.0,0.0,24,0.0,86.67,293.49,371.94,1078.441,1150.591,62156.421,3088.980944,
0.0,2,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,direct-local,direct,local_nvme,192,96,0,96,192,0,0,0.0,0.0,24,0.0,124.81,1045.49,1256.841,3262.61,4082.372,90721.889,2116.358049,
0.0,2,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,direct-remote,direct,remote_nof,192,96,0,96,0,192,0,0.0,0.0,24,0.0,95.92,243.33,317.35,922.21,953.92,66372.615,2892.75931,
0.0,2,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,no_store,no_store,,192,96,0,96,0,0,0,0.0,0.0,24,0.0,0.0,1000.0,1000.0,4000.0,4000.0,0,2000.0,
0.0,2,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,transparent-local,transparent,local_nvme,192,96,0,96,192,0,0,0.0,0.0,24,0.0,104.42,1006.27,1185.341,3400.321,4272.663,91203.635,2105.179251,
0.0,2,91d08ec6b8250ce55f9e44d1b6bace934780f760dd2b34e7c562526606e24f66,transparent-remote,transparent,remote_nof,192,96,0,96,0,192,0,0.0,0.0,24,0.0,85.79,292.96,392.96,1096.17,1149.821,65207.641,2944.440208,
