reuse_ratio,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
0.0,1,local_nvme,direct,direct-local,put,96,827.646865,812.57,882.431,1473.181
0.0,1,local_nvme,direct,direct-local,remove,96,58.622396,57.3,66.68,86.79
0.0,1,remote_nof,direct,direct-remote,put,96,726.954906,233.0,253.771,47369.203
0.0,1,remote_nof,direct,direct-remote,remove,96,59.876885,58.87,66.301,89.109
0.0,1,,no_store,no_store,noop,96,0.0,0.0,0.0,0.0
0.0,1,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
0.0,1,local_nvme,transparent,transparent-local,put,96,920.616396,862.211,1120.97,1847.071
0.0,1,local_nvme,transparent,transparent-local,remove,96,57.572688,56.7,63.67,79.64
0.0,1,remote_nof,transparent,transparent-remote,put,96,587.997771,268.55,307.76,30559.534
0.0,1,remote_nof,transparent,transparent-remote,remove,96,59.464948,58.49,66.79,86.67
0.0,2,local_nvme,direct,direct-local,put,96,885.890896,819.01,1126.741,2062.531
0.0,2,local_nvme,direct,direct-local,remove,96,59.128781,57.22,67.72,124.81
0.0,2,remote_nof,direct,direct-remote,put,96,632.013156,230.51,248.291,38600.249
0.0,2,remote_nof,direct,direct-remote,remove,96,59.36825,58.39,64.07,95.92
0.0,2,,no_store,no_store,noop,96,0.0,0.0,0.0,0.0
0.0,2,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
0.0,2,local_nvme,transparent,transparent-local,put,96,890.682302,852.57,1082.93,1698.78
0.0,2,local_nvme,transparent,transparent-local,remove,96,59.355562,57.421,69.28,104.42
0.0,2,remote_nof,transparent,transparent-remote,put,96,619.312896,273.54,302.0,33236.966
0.0,2,remote_nof,transparent,transparent-remote,remove,96,59.933365,58.96,66.26,85.79
0.0,3,local_nvme,direct,direct-local,put,96,859.577292,810.081,1087.171,1558.241
0.0,3,local_nvme,direct,direct-local,remove,96,58.101521,56.87,65.92,88.62
0.0,3,remote_nof,direct,direct-remote,put,96,556.064313,228.32,252.52,31450.255
0.0,3,remote_nof,direct,direct-remote,remove,96,60.025094,58.96,67.32,87.709
0.0,3,,no_store,no_store,noop,96,0.0,0.0,0.0,0.0
0.0,3,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
