reuse_ratio,target,metric,direct_median,transparent_median,ratio_of_medians_pct,median_paired_delta_pct,min_paired_delta_pct,max_paired_delta_pct
0.0,local_nvme,p50_latency_us,88.62,104.42,17.828933,-8.238276,-16.336832,38.862559
0.0,local_nvme,p95_latency_us,1021.781,1054.46,3.198239,3.198239,-3.751351,27.379977
0.0,local_nvme,p99_latency_us,1233.28,1185.341,-3.887114,-4.342891,-5.688866,29.147856
0.0,local_nvme,request_p50_latency_us,3258.121,3429.502,5.260118,5.260118,4.220885,5.697155
0.0,local_nvme,request_p95_latency_us,4082.372,4272.663,4.661285,4.661285,1.081981,25.731333
0.0,local_nvme,storage_wait_us,88097.166,93457.207,6.084238,6.084238,0.531014,10.371546
0.0,local_nvme,operation_rate,2179.411765,2054.416199,-5.735289,-5.735289,-9.396938,-0.528209
0.0,local_nvme,put_p50_us,812.57,861.66,6.041326,6.109135,4.09763,6.367141
0.0,local_nvme,put_p95_us,1087.171,1120.97,3.108895,3.3463,-3.888294,27.032029
0.0,local_nvme,put_p99_us,1558.241,1847.071,18.535644,23.020188,-17.636147,25.379773
0.0,local_nvme,remove_p50_us,57.22,57.18,-0.069906,0.351276,-1.04712,0.545103
0.0,local_nvme,remove_p95_us,66.68,65.04,-2.459508,-1.334951,-4.514097,2.303603
0.0,local_nvme,remove_p99_us,88.62,104.42,17.828933,-8.238276,-16.336832,38.862559
0.0,remote_nof,p50_latency_us,89.109,86.67,-2.737097,-2.737097,-10.560884,110.719538
0.0,remote_nof,p95_latency_us,243.33,292.96,20.39617,18.194522,15.246058,20.39617
0.0,remote_nof,p99_latency_us,328.63,392.96,19.575206,23.825429,13.178955,36.167317
0.0,remote_nof,request_p50_latency_us,922.21,1078.441,16.940935,15.305695,15.153958,18.863383
0.0,remote_nof,request_p95_latency_us,954.87,1149.821,20.416496,18.677457,17.714558,20.536418
0.0,remote_nof,storage_wait_us,66372.615,65207.641,-1.755203,-1.755203,-17.71269,14.029131
0.0,remote_nof,operation_rate,2892.75931,2944.440208,1.786561,1.786561,-12.303111,21.525421
0.0,remote_nof,put_p50_us,230.51,268.55,16.502538,15.257511,14.917659,18.667303
0.0,remote_nof,put_p95_us,252.52,302.0,19.594488,21.274693,12.616822,21.631473
0.0,remote_nof,put_p99_us,38600.249,33236.966,-13.894426,-13.894426,-35.486493,14.616581
0.0,remote_nof,remove_p50_us,58.87,58.96,0.152879,0.440977,-0.64549,0.976195
0.0,remote_nof,remove_p95_us,66.301,66.79,0.737545,3.418136,0.737545,25.935829
0.0,remote_nof,remove_p99_us,89.109,86.67,-2.737097,-2.737097,-10.560884,110.719538
0.5,local_nvme,p50_latency_us,547.9,547.04,-0.156963,-0.717102,-1.923908,3.278042
0.5,local_nvme,p95_latency_us,1124.021,1094.571,-2.620058,-4.792675,-11.956182,0.691745
0.5,local_nvme,p99_latency_us,6326.283,2005.921,-68.292266,-7.604107,-75.102742,-5.73241
0.5,local_nvme,request_p50_latency_us,3189.152,3359.491,5.3412,4.186643,3.643884,11.67589
0.5,local_nvme,request_p95_latency_us,4720.592,4690.443,-0.63867,-0.836738,-4.33381,1.24133
0.5,local_nvme,storage_wait_us,98006.473,99395.38,1.417158,-1.366499,-1.564345,8.356277
0.5,local_nvme,operation_rate,1510.104338,1489.002809,-1.397356,1.385431,-7.711853,1.589206
0.5,local_nvme,put_p50_us,822.981,865.801,5.203036,4.865118,0.242095,7.763158
0.5,local_nvme,put_p95_us,1350.74,1177.191,-12.848439,-11.917912,-16.556253,-1.797306
0.5,local_nvme,put_p99_us,1653.211,1539.261,-6.892647,-10.522553,-16.61354,-2.517399
0.5,local_nvme,get_p50_us,547.9,547.04,-0.156963,-0.717102,-1.923908,3.278042
0.5,local_nvme,get_p95_us,960.231,776.49,-19.135083,-18.63211,-23.992012,-14.66845
0.5,local_nvme,get_p99_us,17133.409,22224.471,29.714238,-0.841341,-3.879419,66.957918
0.5,local_nvme,remove_p50_us,56.74,56.92,0.317237,1.092704,-0.809005,53.299219
0.5,local_nvme,remove_p95_us,64.05,65.651,2.49961,2.49961,-3.536402,71.691698
0.5,local_nvme,remove_p99_us,79.17,82.52,4.231401,4.231401,-4.212333,602.907943
0.5,remote_nof,p50_latency_us,159.12,160.009,0.558698,0.278217,0.150056,0.558698
0.5,remote_nof,p95_latency_us,253.15,289.11,14.205017,16.650207,10.961428,20.56847
0.5,remote_nof,p99_latency_us,311.74,368.25,18.127286,18.127286,11.397279,29.10016
0.5,remote_nof,request_p50_latency_us,914.209,1053.7,15.258108,16.736982,13.16753,16.829709
0.5,remote_nof,request_p95_latency_us,1008.571,1128.952,11.935798,17.267005,10.417217,17.991364
0.5,remote_nof,storage_wait_us,53878.752,58623.922,8.807127,7.10088,5.40244,13.469627
0.5,remote_nof,operation_rate,2746.908466,2524.566678,-8.094255,-6.630086,-11.87069,-5.125536
0.5,remote_nof,put_p50_us,234.09,270.32,15.476953,16.792687,14.21811,17.92457
0.5,remote_nof,put_p95_us,279.04,318.27,14.058916,14.670002,7.089502,18.714163
0.5,remote_nof,put_p99_us,31772.725,34273.947,7.87223,6.192262,3.048839,16.363412
0.5,remote_nof,get_p50_us,159.12,160.009,0.558698,0.278217,0.150056,0.558698
0.5,remote_nof,get_p95_us,171.251,175.17,2.288454,1.348068,-0.683792,5.484813
0.5,remote_nof,get_p99_us,187.831,183.72,-2.18867,-2.737035,-9.542097,4.28283
0.5,remote_nof,remove_p50_us,58.87,59.0,0.220826,1.062008,-0.356113,1.221335
0.5,remote_nof,remove_p95_us,66.78,67.59,1.212938,1.212938,-0.793294,3.751519
0.5,remote_nof,remove_p99_us,84.19,83.951,-0.283882,-0.283882,-1.485972,-0.114653
0.9,local_nvme,p50_latency_us,542.8,537.04,-1.061164,-1.061164,-21.032343,-0.368283
0.9,local_nvme,p95_latency_us,1117.42,1082.01,-3.168907,-3.318269,-6.763943,10.161769
0.9,local_nvme,p99_latency_us,5489.993,12099.595,120.393633,120.393633,0.947152,144.234748
0.9,local_nvme,request_p50_latency_us,2188.311,2163.701,-1.124612,-1.595797,-32.329827,0.225445
0.9,local_nvme,request_p95_latency_us,4730.482,4829.622,2.09577,-3.068186,-6.815719,9.199597
0.9,local_nvme,storage_wait_us,83376.579,83144.955,-0.277805,-0.277805,-20.465277,1.499405
0.9,local_nvme,operation_rate,1247.352689,1250.827546,0.278579,0.278579,-1.477255,25.731248
0.9,local_nvme,put_p50_us,958.241,1002.381,4.606357,4.74529,-3.363423,5.333731
0.9,local_nvme,put_p95_us,1641.721,1582.22,-3.624306,-5.024942,-21.683172,-0.438564
0.9,local_nvme,put_p99_us,1641.721,1582.22,-3.624306,-5.024942,-21.683172,-0.438564
0.9,local_nvme,get_p50_us,542.8,537.04,-1.061164,-1.061164,-21.032343,-0.368283
0.9,local_nvme,get_p95_us,781.47,668.77,-14.421539,-20.252857,-30.314002,12.811646
0.9,local_nvme,get_p99_us,15986.738,14765.607,-7.6384,-5.808446,-40.089065,1.561919
0.9,local_nvme,remove_p50_us,57.61,59.111,2.60545,-0.779379,-4.366607,6.873151
0.9,local_nvme,remove_p95_us,90.23,85.44,-5.308656,-4.822031,-5.308656,-0.782162
0.9,local_nvme,remove_p99_us,90.23,85.44,-5.308656,-4.822031,-5.308656,-0.782162
0.9,remote_nof,p50_latency_us,159.36,157.1,-1.418173,-0.475135,-1.88253,0.623286
0.9,remote_nof,p95_latency_us,240.36,272.6,13.413214,13.488759,11.823931,14.174923
0.9,remote_nof,p99_latency_us,316.46,380.14,20.122606,21.166448,9.445112,21.964836
0.9,remote_nof,request_p50_latency_us,646.372,638.7,-1.186933,0.014093,-2.869791,0.471555
0.9,remote_nof,request_p95_latency_us,955.602,1084.85,13.525296,13.931222,13.525296,14.113547
0.9,remote_nof,storage_wait_us,50054.209,51120.296,2.129865,2.103334,-5.101799,12.51119
0.9,remote_nof,operation_rate,2077.747348,2034.417015,-2.085448,-2.060005,-11.119951,5.376076
0.9,remote_nof,put_p50_us,247.37,283.641,14.662651,14.713662,12.168007,17.903387
0.9,remote_nof,put_p95_us,33642.566,34586.527,2.805853,2.55685,-7.308468,17.945679
0.9,remote_nof,put_p99_us,33642.566,34586.527,2.805853,2.55685,-7.308468,17.945679
0.9,remote_nof,get_p50_us,159.36,157.1,-1.418173,-0.475135,-1.88253,0.623286
0.9,remote_nof,get_p95_us,174.981,175.12,0.079437,0.079437,-5.965091,2.111614
0.9,remote_nof,get_p99_us,186.821,188.101,0.685148,0.673907,-0.698642,0.890903
0.9,remote_nof,remove_p50_us,60.76,60.48,-0.460829,0.016458,-2.082078,1.306533
0.9,remote_nof,remove_p95_us,88.99,85.78,-3.607147,-3.719519,-6.3128,-0.082214
0.9,remote_nof,remove_p99_us,88.99,85.78,-3.607147,-3.719519,-6.3128,-0.082214
