phase,scenario,trial,kind,requested_load,requested_pct_of_calibration,calibration_iops,requested_iops,runtime_sec,ramp_sec,achieved_iops,achieved_to_requested_ratio,offered_point,bw_GiBps,iops,completed_ops,failed_ops,interval_lines
local,idle,1,idle,0,,,,,,,,,,,,,
local,idle,2,idle,0,,,,,,,,,,,,,
local,idle,3,idle,0,,,,,,,,,,,,,
local,idle,4,idle,0,,,,,,,,,,,,,
local,local50,1,local_fio,,50,163741,81870,75,2,81868.895081,0.9999865039819225,,,,,,
local,local50,2,local_fio,,50,163741,81870,75,2,81868.895081,0.9999865039819225,,,,,,
local,local50,3,local_fio,,50,163741,81870,75,2,81868.855082,0.9999860154146818,,,,,,
local,local50,4,local_fio,,50,163741,81870,75,2,81868.868415,0.9999861782704288,,,,,,
local,local90,1,local_fio,,90,163741,147366,75,2,147363.955147,0.9999861239838226,,,,,,
local,local90,2,local_fio,,90,163741,147366,75,2,147364.021813,0.9999865763676832,,,,,,
local,local90,3,local_fio,,90,163741,147366,75,2,147363.941814,0.9999860335084075,,,,,,
local,local90,4,local_fio,,90,163741,147366,75,2,147364.035146,0.9999866668430982,,,,,,
local,remote_stress,1,remote_nof,,,,,75,2,,,1MiB/QD32,6.81,6973.93,523045,0,150
local,remote_stress,2,remote_nof,,,,,75,2,,,1MiB/QD32,6.81,6974.29,523072,0,150
local,remote_stress,3,remote_nof,,,,,75,2,,,1MiB/QD32,6.81,6972.72,522954,0,150
local,remote_stress,4,remote_nof,,,,,75,2,,,1MiB/QD32,6.81,6973.53,523015,0,150
remote,idle,1,idle,0,,,,,,,,,,,,,
remote,idle,2,idle,0,,,,,,,,,,,,,
remote,idle,3,idle,0,,,,,,,,,,,,,
remote,idle,4,idle,0,,,,,,,,,,,,,
remote,local50,1,local_fio,,50,163741,81870,75,2,81868.895081,0.9999865039819225,,,,,,
remote,local50,2,local_fio,,50,163741,81870,75,2,81868.828416,0.999985689703188,,,,,,
remote,local50,3,local_fio,,50,163741,81870,75,2,81868.881748,0.9999863411261757,,,,,,
remote,local50,4,local_fio,,50,163741,81870,75,2,81868.881748,0.9999863411261757,,,,,,
remote,local90,1,local_fio,,90,163741,147366,75,2,147363.928481,0.9999859430329927,,,,,,
remote,local90,2,local_fio,,90,163741,147366,75,2,147363.995147,0.9999863954168533,,,,,,
remote,local90,3,local_fio,,90,163741,147366,75,2,147363.915148,0.9999858525575778,,,,,,
remote,local90,4,local_fio,,90,163741,147366,75,2,147363.915148,0.9999858525575778,,,,,,
remote,remote_stress,1,remote_nof,,,,,75,2,,,1MiB/QD32,6.81,6975.24,523143,0,150
remote,remote_stress,2,remote_nof,,,,,75,2,,,1MiB/QD32,7.23,7.23,542,0,162
remote,remote_stress,3,remote_nof,,,,,75,2,,,1MiB/QD32,6.81,6975.28,523146,0,150
remote,remote_stress,4,remote_nof,,,,,75,2,,,1MiB/QD32,7.03,7.03,527,0,158
