scenario,trial,trace_sha256,case_id,mode,target,operations,p50_latency_us,p95_latency_us,p99_latency_us,operation_rate,produce,reuse,evict,miss,request_count,request_hit_rate,block_hit_rate,miss_rate,request_p50_latency_us,request_p95_latency_us,storage_wait_us,cpu_utilization_pct,local,remote
idle,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,544.781,1053.291,1705.371,1441.793243,52,44,52,0,24,0.458333,0.458333,0.0,3200.38,4952.022,102649.947,,148,0
idle,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,160.44,252.8,313.21,2179.287413,52,44,52,0,24,0.458333,0.458333,0.0,921.49,986.16,67912.107,,0,148
idle,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
idle,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,546.22,1150.79,7052.283,1474.43833,52,44,52,0,24,0.458333,0.458333,0.0,3469.642,5393.532,100377.206,,148,0
idle,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,160.57,290.79,417.18,2384.943324,52,44,52,0,24,0.458333,0.458333,0.0,1056.941,1151.86,62055.982,,0,148
idle,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,551.76,1089.71,1703.281,1511.044006,52,44,52,0,24,0.458333,0.458333,0.0,3182.103,5091.363,97945.526,,148,0
idle,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,160.16,244.28,304.27,2638.697284,52,44,52,0,24,0.458333,0.458333,0.0,917.3,974.822,56088.283,,0,148
idle,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
idle,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,556.1,1128.56,3382.001,1491.721244,52,44,52,0,24,0.458333,0.458333,0.0,3392.562,5130.522,99214.247,,148,0
idle,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,157.01,282.3,404.93,2161.832976,52,44,52,0,24,0.458333,0.458333,0.0,1046.001,1100.03,68460.423,,0,148
idle,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,556.42,1010.94,12715.806,1436.508443,52,44,52,0,24,0.458333,0.458333,0.0,3263.762,5228.073,103027.588,,148,0
idle,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,160.711,240.69,672.15,2184.907641,52,44,52,0,24,0.458333,0.458333,0.0,890.64,931.3,67737.417,,0,148
idle,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
idle,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,533.28,1100.13,6710.924,1559.297119,52,44,52,0,24,0.458333,0.458333,0.0,3153.942,5192.083,94914.56,,148,0
idle,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,159.34,282.34,366.63,2461.428378,52,44,52,0,24,0.458333,0.458333,0.0,1002.641,1095.9,60127.689,,0,148
