scenario,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
idle,1,local_nvme,direct,direct-local,get,44,1206.499636,544.781,821.341,28075.863
idle,1,local_nvme,direct,direct-local,put,52,894.339269,821.161,1167.67,1705.371
idle,1,local_nvme,direct,direct-local,remove,52,58.813865,57.36,65.549,81.94
idle,1,remote_nof,direct,direct-remote,get,44,163.946386,160.44,174.8,273.61
idle,1,remote_nof,direct,direct-remote,put,52,1106.539923,235.79,260.23,45372.672
idle,1,remote_nof,direct,direct-remote,remove,52,60.738269,59.21,69.749,81.03
idle,1,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
idle,1,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
idle,1,local_nvme,transparent,transparent-local,get,44,1076.4405,546.22,768.95,16100.508
idle,1,local_nvme,transparent,transparent-local,put,52,961.416769,895.26,1251.27,1825.281
idle,1,local_nvme,transparent,transparent-local,remove,52,58.079846,56.68,65.36,78.94
idle,1,remote_nof,transparent,transparent-remote,get,44,161.802705,160.57,174.411,193.42
idle,1,remote_nof,transparent,transparent-remote,put,52,996.586327,271.23,357.02,37722.118
idle,1,remote_nof,transparent,transparent-remote,remove,52,59.887962,58.83,67.27,82.1
idle,2,local_nvme,direct,direct-local,get,44,1095.948136,551.76,1123.701,22611.49
idle,2,local_nvme,direct,direct-local,put,52,897.866923,839.401,1161.151,1703.281
idle,2,local_nvme,direct,direct-local,remove,52,58.360154,57.15,68.34,80.43
idle,2,remote_nof,direct,direct-remote,get,44,164.471159,160.16,172.13,293.01
idle,2,remote_nof,direct,direct-remote,put,52,879.209192,233.16,253.4,33736.716
idle,2,remote_nof,direct,direct-remote,remove,52,60.243731,59.05,66.81,83.05
idle,2,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
idle,2,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
idle,2,local_nvme,transparent,transparent-local,get,44,1083.5655,556.1,901.29,19551.49
idle,2,local_nvme,transparent,transparent-local,put,52,932.868923,863.88,1235.881,1679.091
idle,2,local_nvme,transparent,transparent-local,remove,52,58.23425,56.52,65.45,81.89
idle,2,remote_nof,transparent,transparent-remote,get,44,158.90325,157.01,168.28,178.48
