scenario,target,metric,direct_median,transparent_median,ratio_of_medians_pct,median_paired_delta_pct,min_paired_delta_pct,max_paired_delta_pct
idle,local_nvme,p50_latency_us,551.205,551.16,-0.008164,0.525358,-4.158729,20.608372
idle,local_nvme,p95_latency_us,1071.5005,1139.675,6.362526,8.810633,3.565169,9.256606
idle,local_nvme,p99_latency_us,6895.4985,6881.6035,-0.201508,38.41519,-47.223762,313.533653
idle,local_nvme,request_p50_latency_us,3232.071,3431.102,6.158002,7.513636,-3.364829,18.470492
idle,local_nvme,request_p95_latency_us,5046.0575,5274.0785,4.518795,3.937249,-0.688399,8.915752
idle,local_nvme,storage_wait_us,102204.459,99795.7265,-2.356778,-0.459368,-7.874617,11.113184
idle,local_nvme,operation_rate,1448.105233,1483.079787,2.415194,0.492716,-10.001679,8.547717
idle,local_nvme,put_p50_us,841.801,879.57,4.48669,5.969967,-0.871949,18.28392
idle,local_nvme,put_p95_us,1164.4105,1243.5755,6.798719,6.797706,5.607582,7.441796
idle,local_nvme,put_p99_us,1716.026,1818.686,5.982427,2.805557,-6.686609,13.429232
idle,local_nvme,get_p50_us,551.205,551.16,-0.008164,0.525358,-4.158729,20.608372
idle,local_nvme,get_p95_us,976.1505,871.7505,-10.695072,-5.447189,-19.792721,113.212771
idle,local_nvme,get_p99_us,19110.5585,15727.848,-17.700741,-7.581478,-42.65356,3.506298
idle,local_nvme,remove_p50_us,57.215,56.6,-1.074893,-1.143929,-26.291899,8.120035
idle,local_nvme,remove_p95_us,65.76,65.405,-0.539842,-2.258595,-25.01139,15.714938
idle,local_nvme,remove_p99_us,102.93,80.415,-21.874089,-0.922986,-82.288293,21.078115
idle,remote_nof,p50_latency_us,160.3,159.955,-0.215221,-0.386028,-1.966783,0.806729
idle,remote_nof,p95_latency_us,244.69,282.32,15.378642,15.295898,12.998776,17.304416
idle,remote_nof,p99_latency_us,317.975,406.1,27.714443,29.636911,-45.45414,33.194981
idle,remote_nof,request_p50_latency_us,910.82,1030.2655,13.114062,13.302877,12.184577,14.699129
idle,remote_nof,request_p95_latency_us,962.066,1108.63,15.234298,17.238383,12.844191,17.688637
idle,remote_nof,storage_wait_us,61912.85,61091.8355,-1.326081,-3.518871,-11.234157,22.058333
idle,remote_nof,operation_rate,2411.802462,2423.185851,0.471987,3.938115,-18.07196,12.655946
idle,remote_nof,put_p50_us,231.5,265.025,14.481641,14.487943,12.626175,15.030324
idle,remote_nof,put_p95_us,284.875,306.185,7.480474,9.735477,-8.158194,37.194021
idle,remote_nof,put_p99_us,39498.5735,37117.6625,-6.02784,-9.659957,-19.326427,31.998684
idle,remote_nof,get_p50_us,160.3,159.955,-0.215221,-0.386028,-1.966783,0.806729
idle,remote_nof,get_p95_us,173.465,172.2805,-0.682847,-0.539542,-2.236682,2.426852
idle,remote_nof,get_p99_us,230.86,182.735,-20.845967,-16.977178,-39.087403,0.437153
idle,remote_nof,remove_p50_us,59.13,58.89,-0.405885,0.017804,-1.061678,1.79589
idle,remote_nof,remove_p95_us,66.795,66.93,0.202111,-0.958297,-3.554173,4.680592
idle,remote_nof,remove_p99_us,82.355,83.6155,1.530569,0.397922,-2.492474,11.0458
local50,local_nvme,p50_latency_us,550.915,522.655,-5.129648,-3.578594,-5.293511,7.833472
local50,local_nvme,p95_latency_us,1069.0605,1137.0455,6.359322,8.751453,2.432395,12.037044
local50,local_nvme,p99_latency_us,8112.4685,9840.265,21.298036,51.383157,-73.733807,297.758179
local50,local_nvme,request_p50_latency_us,3245.932,3442.3365,6.050789,6.869162,2.774832,14.909756
local50,local_nvme,request_p95_latency_us,5045.043,5252.677,4.115604,3.960409,0.636156,5.542206
local50,local_nvme,storage_wait_us,97161.591,102043.491,5.024516,6.196616,1.96418,8.158636
local50,local_nvme,operation_rate,1523.248099,1450.612347,-4.768478,-5.834965,-7.543213,-1.926344
local50,local_nvme,put_p50_us,841.925,895.086,6.31422,7.135197,1.155877,14.442399
local50,local_nvme,put_p95_us,1233.17,1231.4605,-0.138626,2.848374,-3.711693,7.015695
local50,local_nvme,put_p99_us,1796.906,1769.396,-1.530965,-1.37065,-6.808364,7.898356
local50,local_nvme,get_p50_us,550.915,522.655,-5.129648,-3.578594,-5.293511,7.833472
local50,local_nvme,get_p95_us,914.05,881.9055,-3.516711,3.015322,-19.617339,32.468112
local50,local_nvme,get_p99_us,15649.802,15862.098,1.356541,-5.45927,-23.973513,71.225157
local50,local_nvme,remove_p50_us,56.86,57.0005,0.247098,2.778316,-0.670786,38.753651
local50,local_nvme,remove_p95_us,66.019,67.35,2.016086,6.990156,-15.46782,37.782516
local50,local_nvme,remove_p99_us,79.65,86.4495,8.536723,13.134535,2.254272,20.158162
local50,remote_nof,p50_latency_us,159.385,160.2105,0.517928,0.103875,-0.47205,1.57818
