trial,case_id,mode,operation,count,p50_us,p95_us,p99_us
1,direct-remote,direct,get,44,2407.001,2471.241,2531.301
1,direct-remote,direct,put,52,2510.082,2563.051,43324.82
1,direct-remote,direct,remove,52,61.12,73.32,95.271
1,transparent-remote,transparent,get,44,2395.551,2458.411,2489.381
1,transparent-remote,transparent,put,52,2497.381,2622.561,31935.605
1,transparent-remote,transparent,remove,52,41.05,51.95,67.77
2,direct-remote,direct,get,44,2417.691,2446.961,2458.131
2,direct-remote,direct,put,52,2509.161,2574.331,37457.088
2,direct-remote,direct,remove,52,61.32,75.28,94.74
2,transparent-remote,transparent,get,44,2411.941,2433.211,2468.711
2,transparent-remote,transparent,put,52,2563.291,2622.671,44801.932
2,transparent-remote,transparent,remove,52,62.11,74.04,93.98
3,direct-remote,direct,get,44,2415.001,2442.112,2487.661
3,direct-remote,direct,put,52,2507.291,2584.211,37280.587
3,direct-remote,direct,remove,52,61.28,74.68,96.09
3,transparent-remote,transparent,get,44,2415.502,2459.701,2472.201
3,transparent-remote,transparent,put,52,2556.502,2702.061,33669.745
3,transparent-remote,transparent,remove,52,61.789,74.7,96.88
4,direct-remote,direct,get,44,2408.412,2433.351,2452.461
4,direct-remote,direct,put,52,2509.071,2641.932,36543.757
4,direct-remote,direct,remove,52,60.49,73.91,94.5
4,transparent-remote,transparent,get,44,2410.461,2435.851,2439.771
4,transparent-remote,transparent,put,52,2548.801,2620.372,30465.374
4,transparent-remote,transparent,remove,52,61.13,76.78,109.14
