metric,direct_median,transparent_median,median_paired_delta_pct,min_paired_delta_pct,max_paired_delta_pct
p50_latency_us,2411.7065,2411.201,-0.108542,-0.475696,0.085077
p95_latency_us,2536.8865,2581.101,1.674097,-1.260745,2.233843
request_p50_latency_us,9971.3245,10144.7545,1.739326,0.5415,2.093328
request_p95_latency_us,10139.53,10310.96,1.67111,0.307679,2.80723
storage_wait_us,275281.455,272072.186,-1.114968,-4.437019,3.511747
operation_rate,537.631676,544.002448,1.133058,-3.392608,4.643031
put_p50_us,2509.116,2552.6515,1.773085,-0.505999,2.157295
put_p95_us,2579.271,2622.616,2.099806,-0.816069,4.560386
put_p99_us,37368.8375,32802.675,-13.159373,-26.287968,19.608689
get_p50_us,2411.7065,2411.201,-0.108542,-0.475696,0.085077
get_p95_us,2444.5365,2447.131,-0.208217,-0.561922,0.720237
get_p99_us,2472.896,2470.456,-0.569453,-1.656065,0.430408
remove_p50_us,61.2,61.4595,0.94432,-32.837042,1.288324
remove_p95_us,74.295,74.37,-0.810201,-29.146208,3.883101
remove_p99_us,95.0055,95.43,0.009975,-28.866077,15.492063
