scenario,requests,path,repeats,median_tokens,median_total_io_time_s,median_qps,median_hit_rate_pct,median_request_wall_p50_ms,median_request_wall_p95_ms,median_request_wall_p99_ms,median_request_io_p50_ms,median_request_io_p95_ms,median_request_io_p99_ms,median_read_count,median_read_bandwidth_mb_s,median_read_p50_ms,median_read_p95_ms,median_read_p99_ms,median_write_count,median_write_bandwidth_mb_s,median_write_p50_ms,median_write_p95_ms,median_write_p99_ms,median_written_pages,median_sync_count,median_elapsed_s,median_cpu_pct,median_max_rss_kb
conversation,20,local,3,297676,30.17,0.66,3.28,1077.806,2858.672,7283.2,1077.555,2857.875,7280.96,19,1526.0,35.196,36.098,36.177,560,1018.43,48.643,74.21,79.582,560,560,30.49,65.0,133876
conversation,20,remote,3,297676,13.209,1.51,3.28,401.755,1340.449,3424.337,401.455,1339.439,3421.729,19,1522.67,35.476,38.469,38.739,560,2391.57,22.123,26.01,27.996,560,560,13.53,55.0,134364
conversation,50,local,3,619595,59.01,0.85,4.07,930.706,2476.179,6495.772,930.421,2475.492,6493.917,49,1499.0,35.466,37.017,38.627,1156,1083.01,46.996,73.254,78.144,1156,1156,59.33,65.0,140552
conversation,50,remote,3,619595,29.303,1.71,4.07,397.98,1251.255,3141.587,397.665,1250.369,3139.255,49,1460.26,37.381,42.045,42.524,1156,2255.83,23.033,28.075,30.795,1156,1156,29.62,55.0,131280
conversation,100,local,3,1561500,146.723,0.68,3.26,1049.58,4052.591,7976.262,1049.282,4051.523,7973.979,99,1518.58,35.3,36.823,36.925,2935,1099.23,46.756,59.717,74.45,2935,2935,147.04,63.0,158480
conversation,100,remote,3,1561500,69.228,1.44,3.26,485.302,1942.048,4130.668,484.929,1940.624,4127.547,99,1512.65,36.018,40.094,41.65,2935,2396.91,21.988,26.039,28.591,2935,2935,69.55,54.0,137124
toolagent,20,local,3,262062,25.461,0.79,12.65,813.752,2815.371,6984.689,813.533,2814.62,6982.715,65,1654.01,32.003,35.143,35.569,449,1030.52,47.052,74.77,80.092,449,449,25.82,69.0,128404
toolagent,20,remote,3,262062,12.489,1.6,12.65,394.621,1339.917,3386.587,394.404,1338.838,3383.927,65,1666.76,30.972,38.475,39.857,449,2328.19,22.435,27.0,29.387,449,449,12.84,61.0,128804
toolagent,50,local,3,528062,48.677,1.03,21.02,489.707,2537.448,6122.121,489.48,2536.735,6120.324,219,1619.04,32.769,35.308,35.998,823,1066.65,46.827,73.903,79.911,823,823,49.03,70.0,140048
toolagent,50,remote,3,528062,26.047,1.92,21.02,396.065,1233.576,3089.572,395.851,1232.575,3087.051,219,1675.61,31.448,37.59,38.853,823,2320.6,22.684,26.981,29.125,823,823,26.41,65.0,131252
toolagent,100,local,3,988814,89.009,1.12,24.27,488.41,2505.498,4199.445,488.19,2504.775,4198.256,473,1610.63,33.123,35.857,36.742,1476,1080.85,46.885,62.55,76.805,1476,1476,89.37,69.0,142676
toolagent,100,remote,3,988814,49.82,2.01,24.27,397.553,1232.339,2179.896,397.336,1231.332,2178.22,473,1696.03,31.262,37.414,40.048,1476,2270.77,23.357,27.919,29.755,1476,1476,50.18,66.0,134544
