case_id	scenario	requests	path	start_utc	end_utc	rc
conversation-r20-t1-local	conversation	20	local	2026-08-23T19:42:31Z	2026-08-23T19:43:00Z	0
conversation-r20-t1-remote	conversation	20	remote	2026-08-23T19:43:02Z	2026-08-23T19:43:17Z	0
conversation-r50-t1-remote	conversation	50	remote	2026-08-23T19:43:18Z	2026-08-23T19:43:48Z	0
conversation-r50-t1-local	conversation	50	local	2026-08-23T19:43:49Z	2026-08-23T19:44:47Z	0
conversation-r100-t1-local	conversation	100	local	2026-08-23T19:44:49Z	2026-08-23T19:47:16Z	0
conversation-r100-t1-remote	conversation	100	remote	2026-08-23T19:47:19Z	2026-08-23T19:48:33Z	0
toolagent-r20-t1-remote	toolagent	20	remote	2026-08-23T19:48:34Z	2026-08-23T19:48:47Z	0
toolagent-r20-t1-local	toolagent	20	local	2026-08-23T19:48:49Z	2026-08-23T19:49:15Z	0
toolagent-r50-t1-local	toolagent	50	local	2026-08-23T19:49:16Z	2026-08-23T19:50:05Z	0
toolagent-r50-t1-remote	toolagent	50	remote	2026-08-23T19:50:07Z	2026-08-23T19:50:34Z	0
toolagent-r100-t1-remote	toolagent	100	remote	2026-08-23T19:50:35Z	2026-08-23T19:51:25Z	0
toolagent-r100-t1-local	toolagent	100	local	2026-08-23T19:51:26Z	2026-08-23T19:52:56Z	0
toolagent-r50-t2-remote	toolagent	50	remote	2026-08-23T19:52:59Z	2026-08-23T19:53:26Z	0
toolagent-r50-t2-local	toolagent	50	local	2026-08-23T19:53:28Z	2026-08-23T19:54:17Z	0
toolagent-r100-t2-local	toolagent	100	local	2026-08-23T19:54:19Z	2026-08-23T19:55:48Z	0
toolagent-r100-t2-remote	toolagent	100	remote	2026-08-23T19:55:50Z	2026-08-23T19:56:42Z	0
toolagent-r20-t2-remote	toolagent	20	remote	2026-08-23T19:56:43Z	2026-08-23T19:56:57Z	0
toolagent-r20-t2-local	toolagent	20	local	2026-08-23T19:56:58Z	2026-08-23T19:57:24Z	0
conversation-r50-t2-local	conversation	50	local	2026-08-23T19:57:26Z	2026-08-23T19:58:25Z	0
conversation-r50-t2-remote	conversation	50	remote	2026-08-23T19:58:27Z	2026-08-23T19:58:57Z	0
conversation-r100-t2-remote	conversation	100	remote	2026-08-23T19:58:59Z	2026-08-23T20:00:08Z	0
conversation-r100-t2-local	conversation	100	local	2026-08-23T20:00:10Z	2026-08-23T20:02:37Z	0
conversation-r20-t2-local	conversation	20	local	2026-08-23T20:02:40Z	2026-08-23T20:03:10Z	0
conversation-r20-t2-remote	conversation	20	remote	2026-08-23T20:03:12Z	2026-08-23T20:03:25Z	0
conversation-r100-t3-local	conversation	100	local	2026-08-23T20:03:27Z	2026-08-23T20:05:54Z	0
conversation-r100-t3-remote	conversation	100	remote	2026-08-23T20:05:56Z	2026-08-23T20:07:05Z	0
conversation-r20-t3-remote	conversation	20	remote	2026-08-23T20:07:06Z	2026-08-23T20:07:20Z	0
conversation-r20-t3-local	conversation	20	local	2026-08-23T20:07:21Z	2026-08-23T20:07:52Z	0
conversation-r50-t3-local	conversation	50	local	2026-08-23T20:07:54Z	2026-08-23T20:08:54Z	0
conversation-r50-t3-remote	conversation	50	remote	2026-08-23T20:08:56Z	2026-08-23T20:09:24Z	0
toolagent-r100-t3-remote	toolagent	100	remote	2026-08-23T20:09:25Z	2026-08-23T20:10:13Z	0
toolagent-r100-t3-local	toolagent	100	local	2026-08-23T20:10:15Z	2026-08-23T20:11:44Z	0
toolagent-r20-t3-local	toolagent	20	local	2026-08-23T20:11:46Z	2026-08-23T20:12:12Z	0
toolagent-r20-t3-remote	toolagent	20	remote	2026-08-23T20:12:14Z	2026-08-23T20:12:26Z	0
toolagent-r50-t3-remote	toolagent	50	remote	2026-08-23T20:12:27Z	2026-08-23T20:12:53Z	0
toolagent-r50-t3-local	toolagent	50	local	2026-08-23T20:12:55Z	2026-08-23T20:13:44Z	0
