scenario,requests,trial,remote_qps_over_local,remote_request_p50_over_local,remote_request_p95_over_local,remote_request_p99_over_local,remote_read_p50_over_local,remote_write_p50_over_local
conversation,20,1,2.028986,0.432929,0.512732,0.496332,1.070065,0.494663
conversation,20,2,2.30303,0.360153,0.467148,0.435945,0.995008,0.450349
conversation,20,3,2.323077,0.348419,0.465103,0.470169,0.957954,0.454803
conversation,50,1,1.988372,0.473721,0.509968,0.516166,1.034196,0.493952
conversation,50,2,1.976471,0.427611,0.517483,0.493923,1.064054,0.509703
conversation,50,3,2.216867,0.376746,0.453396,0.449769,0.912367,0.462947
conversation,100,1,2.0,0.489452,0.511067,0.542144,1.069093,0.503486
conversation,100,2,2.117647,0.457914,0.442836,0.443241,0.985876,0.470311
conversation,100,3,2.161765,0.441198,0.479211,0.488602,1.023522,0.463864
toolagent,20,1,2.051282,0.497493,0.493773,0.487662,0.985312,0.477137
toolagent,20,2,1.911392,0.471719,0.514204,0.516347,0.989363,0.517617
toolagent,20,3,2.113924,0.47936,0.439746,0.47851,0.952317,0.468588
toolagent,50,1,1.846154,0.833707,0.507923,0.504657,0.978495,0.485978
toolagent,50,2,1.76699,0.815228,0.486709,0.547291,0.948743,0.52222
toolagent,50,3,1.941176,0.793294,0.453127,0.482496,0.945131,0.463841
toolagent,100,1,1.794643,0.800263,0.484892,0.519091,0.92946,0.498176
toolagent,100,2,1.725664,0.850502,0.517458,0.542993,0.976126,0.517132
toolagent,100,3,1.866071,0.813974,0.477464,0.480182,0.943815,0.46978
