case_id,scenario,requests,trial,path,rc,tokens,total_io_time_s,qps,hit_rate_pct,request_wall_avg_ms,request_wall_p50_ms,request_wall_p95_ms,request_wall_p99_ms,request_io_avg_ms,request_io_p50_ms,request_io_p95_ms,request_io_p99_ms,read_count,read_bandwidth_mb_s,read_p50_ms,read_p95_ms,read_p99_ms,write_count,write_bandwidth_mb_s,write_p50_ms,write_p95_ms,write_p99_ms,max_pages,written_pages,sync_count,elapsed_s,cpu_pct,max_rss_kb,time_exit_status,loaded_requests
conversation-r100-t1-local,conversation,100,1,local,0,1561500,146.723,0.68,3.26,1467.2,1035.164,3903.047,7960.353,1466.78,1034.845,3901.951,7958.081,99,1518.58,35.3,35.652,36.131,2935,1099.23,46.756,59.717,74.741,64,2935,2935,147.04,64.0,175752,0,100
conversation-r100-t1-remote,conversation,100,1,remote,0,1561500,73.8,1.36,3.26,737.97,506.663,1994.719,4315.656,737.383,506.253,1993.14,4312.115,99,1444.88,37.739,42.415,43.136,2935,2246.36,23.541,27.928,30.224,64,2935,2935,74.12,55.0,142036,0,100
conversation-r100-t2-local,conversation,100,2,local,0,1561500,147.044,0.68,3.26,1470.404,1059.81,4162.428,9319.243,1469.977,1059.519,4161.209,9316.814,99,1486.59,36.534,37.566,40.594,2935,1097.35,46.752,60.5,74.267,64,2935,2935,147.36,63.0,158480,0,100
conversation-r100-t2-remote,conversation,100,2,remote,0,1561500,69.228,1.44,3.26,692.249,485.302,1843.272,4130.668,691.73,484.929,1841.767,4127.547,99,1512.65,36.018,40.094,41.65,2935,2396.91,21.988,26.039,28.591,64,2935,2935,69.55,54.0,134936,0,100
conversation-r100-t3-local,conversation,100,3,local,0,1561500,146.703,0.68,3.26,1467.003,1049.58,4052.591,7976.262,1466.582,1049.282,4051.523,7973.979,99,1524.1,35.074,36.823,36.925,2935,1099.28,46.934,58.868,74.45,64,2935,2935,147.02,63.0,140312,0,100
conversation-r100-t3-remote,conversation,100,3,remote,0,1561500,68.217,1.47,3.26,682.141,463.073,1942.048,3897.215,681.615,462.695,1940.624,3893.997,99,1524.33,35.899,39.466,40.173,2935,2433.4,21.771,25.787,28.139,64,2935,2935,68.53999999999999,54.0,137124,0,100
conversation-r20-t1-local,conversation,20,1,local,0,297676,28.821,0.69,3.28,1441.004,1077.806,2725.527,7021.324,1440.616,1077.555,2724.784,7019.449,19,1526.0,35.196,35.456,36.177,560,1066.99,46.939,74.21,79.582,64,560,560,29.14,67.0,132524,0,20
conversation-r20-t1-remote,conversation,20,1,remote,0,297676,14.325,1.4,3.28,716.185,466.613,1397.465,3484.907,715.678,466.22,1396.559,3482.476,19,1417.59,37.662,43.676,45.321,560,2208.93,23.219,31.444,34.36,64,560,560,14.65,55.0,130780,0,20
conversation-r20-t2-local,conversation,20,2,local,0,297676,30.17,0.66,3.28,1508.472,1074.503,2858.672,7679.246,1508.051,1074.251,2857.875,7677.065,19,1510.83,35.654,36.098,36.136,560,1018.43,48.851,73.983,79.156,64,560,560,30.49,65.0,136488,0,20
conversation-r20-t2-remote,conversation,20,2,remote,0,297676,13.121,1.52,3.28,656.012,386.986,1335.424,3347.728,655.499,386.688,1334.384,3345.076,19,1522.67,35.476,38.469,38.739,560,2413.82,22.0,26.01,27.416,64,560,560,13.44,55.0,136576,0,20
conversation-r20-t3-local,conversation,20,3,local,0,297676,30.632,0.65,3.28,1531.55,1153.08,2882.049,7283.2,1531.082,1152.764,2881.169,7280.96,19,1531.8,34.177,36.832,37.726,560,1002.45,48.643,78.91,87.633,64,560,560,30.95,64.0,133876,0,20
conversation-r20-t3-remote,conversation,20,3,remote,0,297676,13.209,1.51,3.28,660.379,401.755,1340.449,3424.337,659.869,401.455,1339.439,3421.729,19,1590.01,32.74,37.256,37.796,560,2391.57,22.123,25.981,27.996,64,560,560,13.53,55.0,134364,0,20
conversation-r50-t1-local,conversation,50,1,local,0,619595,57.887,0.86,4.07,1157.713,918.974,2453.597,6086.394,1157.385,918.705,2452.906,6084.687,49,1466.12,36.145,38.49,38.627,1156,1105.45,46.63,72.946,78.144,64,1156,1156,58.2,66.0,140552,0,50
conversation-r50-t1-remote,conversation,50,1,remote,0,619595,29.303,1.71,4.07,586.014,435.337,1251.255,3141.587,585.592,434.994,1250.369,3139.255,49,1460.26,37.381,42.345,43.45,1156,2255.83,23.033,29.248,34.225,64,1156,1156,29.62,55.0,130268,0,50
conversation-r50-t2-local,conversation,50,2,local,0,619595,59.01,0.85,4.07,1180.179,930.706,2476.179,6571.717,1179.839,930.421,2475.492,6569.823,49,1499.0,35.439,37.017,37.789,1156,1083.01,46.996,73.287,77.294,64,1156,1156,59.33,65.0,146784,0,50
conversation-r50-t2-remote,conversation,50,2,remote,0,619595,29.824,1.68,4.07,596.443,397.98,1281.38,3245.924,595.995,397.665,1280.398,3243.44,49,1450.18,37.709,42.045,42.524,1156,2214.91,23.954,28.075,30.795,64,1156,1156,30.14,55.0,131280,0,50
conversation-r50-t3-local,conversation,50,3,local,0,619595,59.98,0.83,4.07,1199.573,936.629,2567.455,6495.772,1199.223,936.366,2566.746,6493.917,49,1502.75,35.466,36.016,40.194,1156,1064.9,47.243,73.254,78.372,64,1156,1156,60.29,64.0,137452,0,50
conversation-r50-t3-remote,conversation,50,3,remote,0,619595,27.193,1.84,4.07,543.808,352.871,1164.073,2921.596,543.395,352.579,1163.161,2919.294,49,1574.7,32.358,39.654,40.42,1156,2430.89,21.871,25.809,28.865,64,1156,1156,27.52,54.0,137556,0,50
toolagent-r100-t1-local,toolagent,100,1,local,0,988814,89.498,1.12,24.27,894.953,491.988,2541.47,4199.445,894.668,491.769,2540.667,4198.256,473,1594.79,33.357,36.253,36.904,1476,1075.97,46.885,62.169,76.805,64,1476,1476,89.85,69.0,134712,0,100
toolagent-r100-t1-remote,toolagent,100,1,remote,0,988814,49.82,2.01,24.27,498.178,393.72,1232.339,2179.896,497.816,393.5,1231.332,2178.22,473,1699.44,31.004,37.414,40.048,1476,2270.77,23.357,27.919,29.755,64,1476,1476,50.18,66.0,134544,0,100
toolagent-r100-t2-local,toolagent,100,2,local,0,988814,88.598,1.13,24.27,885.957,477.894,2488.137,4191.616,885.676,477.681,2487.486,4190.443,473,1637.6,32.462,35.728,36.742,1476,1083.09,46.841,62.55,77.016,64,1476,1476,88.96000000000001,69.0,142676,0,100
toolagent-r100-t2-remote,toolagent,100,2,remote,0,988814,51.376,1.95,24.27,513.74,406.45,1287.506,2276.02,513.374,406.231,1286.455,2274.286,473,1659.05,31.687,39.377,42.674,1476,2195.65,24.223,28.486,30.848,64,1476,1476,51.73,66.0,130196,0,100
toolagent-r100-t3-local,toolagent,100,3,local,0,988814,89.009,1.12,24.27,890.067,488.41,2505.498,4326.559,889.778,488.19,2504.775,4325.238,473,1610.63,33.123,35.857,36.553,1476,1080.85,46.922,63.295,76.796,64,1476,1476,89.37,69.0,147816,0,100
toolagent-r100-t3-remote,toolagent,100,3,remote,0,988814,47.853,2.09,24.27,478.505,397.553,1196.284,2077.537,478.174,397.336,1195.378,2076.024,473,1696.03,31.262,35.963,38.239,1476,2408.56,22.043,25.983,27.381,64,1476,1476,48.21,66.0,142124,0,100
toolagent-r20-t1-local,toolagent,20,1,local,0,262062,25.637,0.78,12.65,1281.813,812.506,2713.632,6944.536,1281.446,812.272,2712.839,6942.585,65,1654.01,32.134,35.251,35.865,449,1023.64,47.02,74.435,81.474,64,449,449,25.99,69.0,127588,0,20
toolagent-r20-t1-remote,toolagent,20,1,remote,0,262062,12.489,1.6,12.65,624.386,404.216,1339.917,3386.587,623.909,403.991,1338.838,3383.927,65,1631.54,31.662,39.524,40.019,449,2328.19,22.435,27.0,29.387,64,449,449,12.84,61.0,132652,0,20
toolagent-r20-t2-local,toolagent,20,2,local,0,262062,25.461,0.79,12.65,1273.006,836.56,2815.371,7273.456,1272.649,836.326,2814.62,7271.547,65,1669.1,31.305,34.905,35.244,449,1030.52,47.199,75.418,79.843,64,449,449,25.82,69.0,128404,0,20
toolagent-r20-t2-remote,toolagent,20,2,remote,0,262062,13.221,1.51,12.65,660.998,394.621,1447.674,3755.63,660.492,394.404,1446.563,3752.664,65,1666.76,30.972,38.475,39.857,449,2165.53,24.431,28.615,30.283,64,449,449,13.57,61.0,128804,0,20
toolagent-r20-t3-local,toolagent,20,3,local,0,262062,25.239,0.79,12.65,1261.914,813.752,3010.534,6984.689,1261.544,813.533,3009.743,6982.715,65,1647.17,32.003,35.143,35.569,449,1041.66,47.052,74.77,80.092,64,449,449,25.59,70.0,130740,0,20
