scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
conversation,1,local,18847.149,21009.259,11.47181464952602,76111.212,79254.332,4.129641241293064,2748908.152,3042169.356,10.668279468946054,2174.681608,1965.045104,-9.639871107053564
conversation,1,remote,6174.992,6912.602,11.945116690029714,26786.111,29790.123,11.214812034490556,943537.8,1024517.138,8.582521866108596,6335.72921,5834.943876,-7.904146743039229
conversation,2,local,19391.81,19871.321,2.472750093982968,73801.234,78715.409,6.658662374127787,2877957.538,2994678.882,4.055700699500732,2077.167547,1996.207352,-3.897624682078672
conversation,2,remote,6154.167,6834.601,11.056476042980297,26555.992,29683.891,11.7785055817158,928682.679,1035459.326,11.497646011334728,6437.07494,5773.283267,-10.312007848086363
conversation,3,local,19508.531,19870.685,1.8563878541136811,73476.237,76769.489,4.482064044733276,2846532.818,2942067.986,3.356194152966905,2100.098745,2031.904099,-3.247211406718863
conversation,3,remote,6085.454,6816.208,12.008208426191374,26424.261,29963.234,13.392892993298855,925126.95,1024254.739,10.715047161905725,6461.815862,5836.438703,-9.678040543953843
toolagent,1,local,8783.442,9587.955,9.159427477291942,47546.261,50832.439,6.911538217484652,1683265.621,1868598.933,11.010342615439178,2093.54956,1885.904962,-9.918303438682381
toolagent,1,remote,2595.473,2874.301,10.742858816100185,15631.069,18219.33,16.55843883742054,563302.232,647163.909,14.887510156359548,6255.96669,5445.297476,-12.958336483725756
toolagent,2,local,9053.756,8787.573,-2.9400284257715703,47375.634,50662.476,6.937832219828454,1697071.384,1745217.393,2.8370055292853755,2076.518427,2019.232684,-2.75873993002615
toolagent,2,remote,2593.692,2906.982,12.07892070454009,15586.874,17396.176,11.607856713283239,567426.534,618563.576,9.012099176877761,6210.495613,5697.070013,-8.267063242509701
toolagent,3,local,8948.916,9702.815,8.42447286352896,48175.056,54172.228,12.448707895637954,1714798.089,1883232.037,9.822377869468228,2055.052442,1871.251089,-8.943876528091055
toolagent,3,remote,2632.927,2965.931,12.647673102976265,16167.166,17414.204,7.713398872752357,581103.512,615431.116,5.907313119112598,6064.324044,5726.067318,-5.577814172622726
