scenario,case_id,mode,target,trials,median_operations,median_p50_latency_us,median_p95_latency_us,median_p99_latency_us,median_operation_rate,median_produce,median_reuse,median_evict,median_request_count,median_request_hit_rate,median_block_hit_rate,median_request_p50_latency_us,median_request_p95_latency_us,median_storage_wait_us,median_local,median_remote
conversation,direct-local,direct,local_nvme,3,27867.0,620.39,1021.581,1091.821,2099.066626,13705.0,457.0,13705.0,500.0,0.914,0.032269,16611.875,87259.449,13275900.656,27867.0,0.0
conversation,direct-remote,direct,remote_nof,3,27867.0,165.94,239.28,246.87,6626.648255,13705.0,457.0,13705.0,500.0,0.914,0.032269,5279.543,29077.377,4205293.374,0.0,27867.0
conversation,no_store,no_store,,3,27867.0,1000.0,1000.0,1000.0,1967.730547,13705.0,457.0,13705.0,500.0,0.914,0.032269,18000.0,98000.0,0.0,0.0,0.0
conversation,transparent-local,transparent,local_nvme,3,27867.0,622.921,1065.71,1146.961,1986.829156,13705.0,457.0,13705.0,500.0,0.914,0.032269,17508.965,90525.949,14025866.246,27867.0,0.0
conversation,transparent-remote,transparent,remote_nof,3,27867.0,166.551,275.08,285.86,5966.699762,13705.0,457.0,13705.0,500.0,0.914,0.032269,5860.473,32506.521,4670421.022,0.0,27867.0
toolagent,direct-local,direct,local_nvme,3,17460.0,372.71,1012.491,1089.671,2124.234463,7695.0,2070.0,7695.0,500.0,0.796,0.211982,8090.414,57271.748,8219431.659,17460.0,0.0
toolagent,direct-remote,direct,remote_nof,3,17460.0,161.58,237.86,245.56,6539.987729,7695.0,2070.0,7695.0,500.0,0.796,0.211982,2566.33,16220.152,2669729.78,0.0,17460.0
toolagent,no_store,no_store,,3,17460.0,1000.0,1000.0,1000.0,1788.018433,7695.0,2070.0,7695.0,500.0,0.796,0.211982,13000.0,54000.0,0.0,0.0,0.0
toolagent,transparent-local,transparent,local_nvme,3,17460.0,408.531,982.81,1118.96,2055.925163,7695.0,2070.0,7695.0,500.0,0.796,0.211982,8015.838,52330.998,8492527.022,17460.0,0.0
toolagent,transparent-remote,transparent,remote_nof,3,17460.0,161.63,274.37,284.73,5958.215802,7695.0,2070.0,7695.0,500.0,0.796,0.211982,2648.05,18031.463,2930407.454,0.0,17460.0
