scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
conversation,1,local,16555.912,17451.579,5.409952650146977,87259.449,90030.23,3.1753363466688898,13260133.312,14001145.015,5.588267369298675,2101.562582,1990.337217,-5.292507867843263
conversation,1,remote,5378.131,5842.843,8.640771301405628,29134.792,32319.191,10.929884105573835,4223055.492,4661537.204,10.3830440502296,6598.776657,5978.07092,-9.40637589759238
conversation,2,local,16611.875,17942.615,8.010775424207091,86260.761,90525.949,4.944528602060437,13275900.656,14081166.725,6.065622889668602,2099.066626,1979.026351,-5.718745346771087
conversation,2,remote,5279.543,5863.605,11.062737816511769,29037.365,32726.753,12.70565700434595,4205293.374,4716073.761,12.146129688786846,6626.648255,5908.94066,-10.830627602098367
conversation,3,local,16713.375,17508.965,4.760199540786945,87267.701,91399.924,4.735111562065784,13403751.164,14025866.246,4.641350577074906,2079.044863,1986.829156,-4.435484228413212
conversation,3,remote,5232.901,5860.473,11.992812399852399,29077.377,32506.521,11.793168276492064,4198107.671,4670421.022,11.250624996178184,6637.990777,5966.699762,-10.112864533134916
toolagent,1,local,8090.414,7847.615,-3.0010701553715298,58055.674,52211.984,-10.065665588517675,8219431.659,8389346.463,2.0672330040477744,2124.234463,2081.210983,-2.0253639958010528
toolagent,1,remote,2595.25,2629.422,1.3167132260861198,16486.274,17823.201,8.109333861611177,2687396.832,2903201.959,8.030266480570141,6496.993593,6014.0494,-7.433348764886189
toolagent,2,local,8038.694,8588.116,6.834717181671544,56228.938,59443.738,5.717340775669631,8213629.601,8557523.676,4.186870990117845,2125.73501,2040.309868,-4.018616694843814
toolagent,2,remote,2566.33,2651.534,3.320071853580801,16220.152,18031.463,11.16704085140509,2669729.78,2945499.807,10.329510839108229,6539.987729,5927.68669,-9.362418774654554
toolagent,3,local,8140.103,8015.838,-1.526577734950041,57271.748,52330.998,-8.626853854713847,8286124.67,8492527.022,2.490939494879697,2107.137015,2055.925163,-2.430399714657374
toolagent,3,remote,2544.732,2648.05,4.060073909551191,16205.974,18152.683,12.012292503986497,2647949.484,2930407.454,10.667045263013021,6593.781379,5958.215802,-9.63886335425317
