scenario,case_id,mode,target,trials,median_operations,median_p50_latency_us,median_p95_latency_us,median_p99_latency_us,median_operation_rate,median_produce,median_reuse,median_evict,median_request_count,median_request_hit_rate,median_block_hit_rate,median_request_p50_latency_us,median_request_p95_latency_us,median_storage_wait_us,median_local,median_remote
conversation,direct-local,direct,local_nvme,3,28097.0,664.171,1022.911,1094.241,2100.917991,13935.0,227.0,13935.0,500.0,0.454,0.016029,16776.979,87121.36,13373677.659,28097.0,0.0
conversation,direct-remote,direct,remote_nof,3,28097.0,167.54,243.79,251.66,6545.583028,13935.0,227.0,13935.0,500.0,0.454,0.016029,5400.816,29531.027,4292512.963,0.0,28097.0
conversation,no_store,no_store,,3,28097.0,1000.0,1000.0,1000.0,1983.971191,13935.0,227.0,13935.0,500.0,0.454,0.016029,18000.0,98000.0,0.0,0.0,0.0
conversation,transparent-local,transparent,local_nvme,3,28097.0,632.61,1064.17,1143.4,1991.743686,13935.0,227.0,13935.0,500.0,0.454,0.016029,17694.4,91336.237,14106734.817,28097.0,0.0
conversation,transparent-remote,transparent,remote_nof,3,28097.0,170.28,290.12,303.11,5777.338407,13935.0,227.0,13935.0,500.0,0.454,0.016029,6175.28,33411.877,4863312.138,0.0,28097.0
toolagent,direct-local,direct,local_nvme,3,18464.0,518.711,1022.051,1101.04,2082.873782,8699.0,1066.0,8699.0,500.0,0.322,0.109165,11365.216,57521.312,8864675.41,18464.0,0.0
toolagent,direct-remote,direct,remote_nof,3,18464.0,163.82,243.91,252.13,6482.514275,8699.0,1066.0,8699.0,500.0,0.322,0.109165,3868.851,16623.381,2848277.569,0.0,18464.0
toolagent,no_store,no_store,,3,18464.0,1000.0,1000.0,1000.0,1890.834613,8699.0,1066.0,8699.0,500.0,0.322,0.109165,13000.0,54000.0,0.0,0.0,0.0
toolagent,transparent-local,transparent,local_nvme,3,18464.0,485.311,954.451,1088.54,2087.443855,8699.0,1066.0,8699.0,500.0,0.322,0.109165,11854.805,52771.381,8845267.841,18464.0,0.0
toolagent,transparent-remote,transparent,remote_nof,3,18464.0,165.55,286.54,299.34,5807.473171,8699.0,1066.0,8699.0,500.0,0.322,0.109165,4315.901,18868.581,3179351.752,0.0,18464.0
