scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
conversation,1,local,16571.81,17530.52,5.785185806499103,88222.922,90105.492,2.1338785400918736,13288086.044,14001128.327,5.366026985669327,2114.450486,2006.766836,-5.092748717124613
conversation,1,remote,5400.816,6112.252,13.172750191822876,29050.555,33908.877,16.72368049422808,4292512.963,4912894.456,14.452641106677532,6545.583028,5719.031877,-12.627616935943934
conversation,2,local,16776.979,18003.908,7.313170029002243,86832.064,93396.872,7.560350056863792,13373677.659,14226773.816,6.378919686507451,2100.917991,1974.938265,-5.996413307881459
conversation,2,remote,5458.747,6180.007,13.212922306162922,29715.215,32957.716,10.911921720909643,4326488.554,4863312.138,12.407835529893807,6494.181055,5777.338407,-11.038230100592719
conversation,3,local,16827.578,17694.4,5.15119882374041,87121.36,91336.237,4.837937562039887,13508271.23,14106734.817,4.430349204647998,2079.984886,1991.743686,-4.2423962113347855
conversation,3,remote,5391.432,6175.28,14.538771888433352,29531.027,33411.877,13.141601881979934,4270459.178,4819397.06,12.854305804582946,6579.386157,5829.982392,-11.390177550267172
toolagent,1,local,11365.216,11854.805,4.307784383508417,57805.63,51858.849,-10.287546386052702,8864675.41,8810228.555,-0.614200210180064,2082.873782,2095.745858,0.6179959684182201
toolagent,1,remote,3878.703,4293.601,10.69682313907509,16739.563,18798.685,12.300930436475571,2852427.894,3155139.33,10.612413258079021,6473.08212,5852.039504,-9.594233542645055
toolagent,2,local,11460.855,11109.823,-3.0628779440975324,57521.312,58707.189,2.061630652652708,8927100.317,8969926.892,0.47973668357289406,2068.308784,2058.433722,-0.47744621482009897
toolagent,2,remote,3868.851,4331.801,11.966085021108341,16623.381,19039.686,14.535580938679082,2848277.569,3218876.897,13.01134875454267,6482.514275,5736.162205,-11.513311630925807
toolagent,3,local,11344.615,11940.946,5.256511569586101,56042.299,52771.381,-5.836516449833719,8742918.1,8845267.841,1.1706588101288562,2111.8807,2087.443855,-1.1571129467682608
toolagent,3,remote,3865.413,4315.901,11.654330339345364,16585.328,18868.581,13.766703920477163,2846695.067,3179351.752,11.685715440908517,6486.11796,5807.473171,-10.463034949182454
