scenario,capacity_pages,target,trials,request_p50_median_pct,request_p50_min_pct,request_p50_max_pct,request_p95_median_pct,request_p95_min_pct,request_p95_max_pct,storage_wait_median_pct,storage_wait_min_pct,storage_wait_max_pct,event_rate_median_pct,event_rate_min_pct,event_rate_max_pct
conversation,16,local,3,5.785186,5.151199,7.313170,4.837938,2.133879,7.560350,5.366027,4.430349,6.378920,-5.092749,-5.996413,-4.242396
conversation,64,local,3,5.409953,4.760200,8.010775,4.735112,3.175336,4.944529,5.588267,4.641351,6.065623,-5.292508,-5.718745,-4.435484
conversation,256,local,3,6.061270,5.464943,8.194922,3.734148,1.839038,5.045064,4.542579,3.799352,5.714490,-4.345195,-5.405589,-3.660285
conversation,16,remote,3,13.212922,13.172750,14.538772,13.141602,10.911922,16.723680,12.854306,12.407836,14.452641,-11.390178,-12.627617,-11.038230
conversation,64,remote,3,11.062738,8.640771,11.992812,11.793168,10.929884,12.705657,11.250625,10.383044,12.146130,-10.112865,-10.830628,-9.406376
conversation,256,remote,3,14.722498,13.607247,15.958612,13.392418,11.495843,13.520669,14.409037,13.771559,14.509258,-12.594317,-12.670817,-12.104571
toolagent,16,local,3,4.307784,-3.062878,5.256512,-5.836516,-10.287546,2.061631,0.479737,-0.614200,1.170659,-0.477446,-1.157113,0.617996
toolagent,64,local,3,-1.526578,-3.001070,6.834717,-8.626854,-10.065666,5.717341,2.490939,2.067233,4.186871,-2.430400,-4.018617,-2.025364
toolagent,256,local,3,-3.530559,-7.320197,-2.150013,-5.588757,-6.762095,-2.600675,1.867293,-1.252957,2.343226,-1.833065,-2.289576,1.268855
toolagent,16,remote,3,11.654330,10.696823,11.966085,13.766704,12.300930,14.535581,11.685715,10.612413,13.011349,-10.463035,-11.513312,-9.594234
toolagent,64,remote,3,3.320072,1.316713,4.060074,11.167041,8.109334,12.012293,10.329511,8.030266,10.667045,-9.362419,-9.638863,-7.433349
toolagent,256,remote,3,2.681259,2.303744,3.682529,11.409054,9.813815,12.541735,9.571147,7.612192,9.727732,-8.735098,-8.865336,-7.073727
