scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
conversation,1,local,16524.227,17609.43,6.567345026184894,87151.268,90477.511,3.8166317901421727,13206545.988,14178371.808,7.358667594714322,2110.089953,1965.458402,-6.85428366664519
conversation,1,remote,6204.652,7180.602,15.729326963059329,32324.223,37490.089,15.981408122323614,4828685.138,5500243.937,13.90769494815629,5771.136283,5066.502562,-12.209618460677065
conversation,2,local,16607.921,17598.154,5.962413958977769,86987.002,90891.161,4.488209629296111,13304127.222,14135345.537,6.24782295846871,2094.613163,1971.441018,-5.880424470530265
conversation,2,remote,6388.064,7232.194,13.21417568765748,33111.634,37471.171,13.166178993159939,4834166.818,5512864.372,14.039597298812135,5764.592131,5054.90397,-12.311160007028779
conversation,3,local,16399.176,17278.243,5.360433963267417,82964.71,93747.57,12.996923631746556,13163229.904,13927695.979,5.807587351852737,2117.033601,2000.83345,-5.488819400179185
conversation,3,remote,6495.546,7044.345,8.448850951097874,32057.619,36665.884,14.374944689435607,4795764.91,5386268.943,12.313031269916852,5810.751887,5173.711208,-10.963136808942203
toolagent,1,local,8460.405,7852.311,-7.187528256626023,56953.91,53444.086,-6.162568996579867,8335716.758,8412527.665,0.9214673342431092,2094.600921,2075.476087,-0.9130538332270784
toolagent,1,remote,3060.823,3337.722,9.04655381902189,20629.524,23100.938,11.979985577951274,2951700.723,3350169.497,13.4996333095386,5915.233839,5211.676608,-11.893988473648246
toolagent,2,local,8539.235,8324.714,-2.512180540762734,57888.777,59293.712,2.4269557465344236,8481271.102,8557408.785,0.8977154731210736,2058.653684,2040.337261,-0.8897282307537449
toolagent,2,remote,3149.551,3373.706,7.117046207538795,19727.593,24834.744,25.88836357278862,2951407.266,3379935.318,14.51944829629623,5915.821988,5165.779329,-12.67858736320042
toolagent,3,local,8545.062,8117.823,-4.999834992420179,57557.311,54648.647,-5.053509188433081,8371029.104,8363243.648,-0.09300476564201703,2085.765057,2087.706724,0.09309135722087476
toolagent,3,remote,3132.169,3420.751,9.213487522544293,19266.326,24100.081,25.089137389245863,2996778.821,3401483.503,13.504656371835724,5826.255804,5133.054441,-11.897887533947351
