scenario,trial,target,direct_request_p50_latency_us,transparent_request_p50_latency_us,transparent_vs_direct_request_p50_latency_us_pct,direct_request_p95_latency_us,transparent_request_p95_latency_us,transparent_vs_direct_request_p95_latency_us_pct,direct_storage_wait_us,transparent_storage_wait_us,transparent_vs_direct_storage_wait_us_pct,direct_operation_rate,transparent_operation_rate,transparent_vs_direct_operation_rate_pct
conversation,1,local,16513.888,17726.766,7.344593835201017,87289.044,91279.63,4.571691723419505,13235268.398,14126536.55,6.73403912333717,2105.510758,1972.670364,-6.309176692413739
conversation,1,remote,5647.996,6183.752,9.4857715904898,30097.615,32696.23,8.63395654439728,4452026.536,4891562.702,9.872721162953987,6259.396653,5696.952426,-8.98559810441845
conversation,2,local,16648.567,18218.967,9.432643662364464,87870.003,91889.514,4.5743835925440886,13415509.212,14345149.525,6.929593937205528,2077.22268,1942.607845,-6.480520181880542
conversation,2,remote,5566.567,6205.63,11.480379199603636,29458.201,32662.652,10.87795890862445,4304156.889,4924698.701,14.417267492871815,6474.438716,5658.620292,-12.600604620504066
conversation,3,local,16655.297,17368.789,4.283874373420072,88126.799,91319.004,3.6222863376667087,13427678.825,13975951.888,4.083155921030909,2075.340077,1993.925009,-3.922974788676034
conversation,3,remote,5441.082,6088.372,11.896347086847799,30346.093,33924.483,11.791929854034255,4240463.867,4886575.087,15.236805223790409,6571.686701,5702.767174,-13.222169079785534
toolagent,1,local,8531.423,7540.104,-11.619620783074527,57705.239,52624.726,-8.804249125456353,8384324.899,8414272.235,0.3571824369970565,2082.457468,2075.045769,-0.35591118252794135
toolagent,1,remote,2638.47,2861.632,8.4580078606162,16844.422,18914.103,12.28704077824695,2735939.085,3036474.303,10.9847189086814,6381.721032,5750.089827,-9.89750573290181
toolagent,2,local,8431.714,8349.515,-0.9748788917650733,58425.937,59885.272,2.497751982993442,8379453.777,8569939.043,2.2732420402251696,2083.668037,2037.354048,-2.222714375687282
toolagent,2,remote,2591.17,2966.51,14.485348317555397,17285.766,18846.433,9.028625054857281,2736953.261,3068331.816,12.107570842438298,6379.35629,5690.388474,-10.799958250960136
toolagent,3,local,8584.555,7687.226,-10.452830694194407,57320.771,53184.745,-7.215579846265498,8472149.298,8406738.307,-0.7720708016257669,2060.870198,2076.905378,0.7780781155242779
toolagent,3,remote,2648.373,2872.659,8.468822178748994,16515.509,19167.481,16.057464532276917,2744846.071,3103200.576,13.05554102964486,6361.012439,5626.449072,-11.547900181680493
