scenario,case_id,mode,target,trials,median_operations,median_p50_latency_us,median_p95_latency_us,median_p99_latency_us,median_operation_rate,median_produce,median_reuse,median_evict,median_request_count,median_request_hit_rate,median_block_hit_rate,median_request_p50_latency_us,median_request_p95_latency_us,median_request_arrival_lag_p50_us,median_request_arrival_lag_p95_us,median_request_arrival_lag_max_us,median_storage_wait_us,median_replay_scale,median_scheduled_span_us,median_processing_wall_us,median_completion_lag_us,median_local,median_remote
conversation,direct-local,direct,local_nvme,3,27867.0,600.65,956.671,1180.601,2143.234257,13705.0,457.0,13705.0,500.0,0.914,0.032269,16388.616,87046.902,104489.463,463575.18,667671.762,13002311.77,5.0,33000000.0,33183986.623,183986.623,27867.0,0.0
conversation,direct-remote,direct,remote_nof,3,27867.0,218.05,342.49,364.241,5690.006046,13705.0,457.0,13705.0,500.0,0.914,0.032269,6699.371,33214.788,56628.162,181211.643,291978.392,4897534.339,5.0,33000000.0,33095306.691,95306.691,0.0,27867.0
conversation,no_store,no_store,,3,27867.0,1000.0,1000.0,1000.0,1967.730547,13705.0,457.0,13705.0,500.0,0.914,0.032269,18000.0,98000.0,105254.839,455714.664,704489.81,0.0,5.0,33000000.0,33188978.046,188978.046,0.0,0.0
conversation,transparent-local,transparent,local_nvme,3,27867.0,586.311,990.52,1164.661,2051.229028,13705.0,457.0,13705.0,500.0,0.914,0.032269,17254.381,90862.285,108976.696,502063.052,700263.587,13585513.672,5.0,33000000.0,33196094.539,196094.539,27867.0,0.0
conversation,transparent-remote,transparent,remote_nof,3,27867.0,228.1,389.62,413.69,4997.988043,13705.0,457.0,13705.0,500.0,0.914,0.032269,7574.133,37909.501,62564.795,204767.073,329574.17,5575643.591,5.0,33000000.0,33109379.527,109379.527,0.0,27867.0
toolagent,direct-local,direct,local_nvme,3,17460.0,420.72,926.241,1096.55,2140.203681,7695.0,2070.0,7695.0,500.0,0.796,0.211982,8420.835,49992.132,128233.595,389513.763,658774.69,8158102.031,5.0,18000000.0,18332807.682,332807.682,17460.0,0.0
toolagent,direct-remote,direct,remote_nof,3,17460.0,172.88,337.7,365.58,5703.479419,7695.0,2070.0,7695.0,500.0,0.796,0.211982,3243.071,20586.042,63533.031,177557.337,287886.694,3061289.209,5.0,18000000.0,18163906.721,163906.721,0.0,17460.0
toolagent,no_store,no_store,,3,17460.0,1000.0,1000.0,1000.0,1788.018433,7695.0,2070.0,7695.0,500.0,0.796,0.211982,13000.0,54000.0,141591.388,414581.84,706397.054,0.0,5.0,18000000.0,18378128.533,378128.533,0.0,0.0
toolagent,transparent-local,transparent,local_nvme,3,17460.0,387.011,959.461,1139.971,2077.458518,7695.0,2070.0,7695.0,500.0,0.796,0.211982,8316.783,51799.306,130895.709,404823.785,677065.36,8404499.943,5.0,18000000.0,18350328.46,350328.46,17460.0,0.0
toolagent,transparent-remote,transparent,remote_nof,3,17460.0,204.83,386.55,409.08,5073.721065,7695.0,2070.0,7695.0,500.0,0.796,0.211982,3502.062,24213.061,70474.368,195417.69,313379.596,3441261.31,5.0,18000000.0,18178287.278,178287.278,0.0,17460.0
