requests,scenario,case_id,mode,target,operations,operations_per_request,request_hit_rate,block_hit_rate,scheduled_span_s,processing_wall_s,completion_lag_s,completion_lag_pct,arrival_lag_p50_ms,arrival_lag_p95_ms,request_p50_latency_us,request_p95_latency_us,storage_wait_us,storage_wait_per_request_us
500,conversation,direct-local,direct,local_nvme,27867.0,55.734,0.914,0.032269,16.5,17.474055972,0.9740559719999999,5.9033695272727265,252.571965,1027.175049,16524.227,86987.002,13206545.988,26413.091976
500,conversation,direct-remote,direct,remote_nof,27867.0,55.734,0.914,0.032269,16.5,16.593528512,0.09352851200000001,0.5668394666666666,53.789014,182.08779,6388.064,32324.223,4828685.138,9657.370276
500,conversation,no_store,no_store,,27867.0,55.734,0.914,0.032269,16.5,17.377196166,0.8771961659999999,5.3163404,291.65959200000003,868.732847,18000.0,98000.0,0.0,0.0
500,conversation,transparent-local,transparent,local_nvme,27867.0,55.734,0.914,0.032269,16.5,17.876923575,1.376923575,8.344991363636362,313.86367099999995,1373.721088,17598.154,90891.161,14135345.537,28270.691074000002
500,conversation,transparent-remote,transparent,remote_nof,27867.0,55.734,0.914,0.032269,16.5,16.6095478,0.1095478,0.6639260606060606,61.606688000000005,205.43427,7180.602,37471.171,5500243.937,11000.487874
500,toolagent,direct-local,direct,local_nvme,17460.0,34.92,0.796,0.211982,9.0,9.964071260999999,0.9640712610000001,10.7119029,636.978142,956.235096,8539.235,57557.311,8371029.104,16742.058208000002
500,toolagent,direct-remote,direct,remote_nof,17460.0,34.92,0.796,0.211982,9.0,9.159150607,0.159150607,1.7683400777777778,58.419398,175.508377,3132.169,19727.593,2951700.723,5903.401446000001
500,toolagent,no_store,no_store,,17460.0,34.92,0.796,0.211982,9.0,10.426008482,1.426008482,15.84453868888889,512.7430860000001,1148.493376,13000.0,54000.0,0.0,0.0
500,toolagent,transparent-local,transparent,local_nvme,17460.0,34.92,0.796,0.211982,9.0,10.04580024,1.04580024,11.620002666666666,558.352475,900.133025,8117.823,54648.647,8412527.665,16825.05533
500,toolagent,transparent-remote,transparent,remote_nof,17460.0,34.92,0.796,0.211982,9.0,9.181604698000001,0.181604698,2.017829977777778,65.186137,196.551119,3373.706,24100.081,3379935.318,6759.870636
1000,conversation,direct-local,direct,local_nvme,53702.0,53.702,0.908,0.033254,33.0,33.370264311999996,0.370264312,1.1220130666666666,360.553029,1211.147081,15415.748,86955.415,25969055.558,25969.055558
1000,conversation,direct-remote,direct,remote_nof,53702.0,53.702,0.908,0.033254,33.0,33.071433899999995,0.0714339,0.21646636363636362,54.265817999999996,164.89735399999998,5806.183,30658.872,9293691.502,9293.691502
1000,conversation,no_store,no_store,,53702.0,53.702,0.908,0.033254,33.0,33.148353386,0.148353386,0.44955571515151516,284.724903,780.0091779999999,17000.0,90000.0,0.0,0.0
1000,conversation,transparent-local,transparent,local_nvme,53702.0,53.702,0.908,0.033254,33.0,33.501698105,0.501698105,1.5202972878787877,446.11501799999996,1305.5358219999998,15965.01,90117.192,26956714.8,26956.7148
1000,conversation,transparent-remote,transparent,remote_nof,53702.0,53.702,0.908,0.033254,33.0,33.081020465,0.081020465,0.24551656060606059,60.085188,185.655305,6498.322,34217.316,10406380.883,10406.380883
1000,toolagent,direct-local,direct,local_nvme,35257.0,35.257,0.787,0.210486,17.3999,20.104001886,2.704101886,15.540904752326162,791.774921,2660.265079,8162.334,55179.815,16894203.317,16894.203317000003
1000,toolagent,direct-remote,direct,remote_nof,35257.0,35.257,0.787,0.210486,17.3999,17.555672101,0.155772101,0.8952471048684187,63.285258,201.342794,3154.952,18239.526,5862573.77,5862.57377
1000,toolagent,no_store,no_store,,35257.0,35.257,0.787,0.210486,17.3999,21.054497920000003,3.65459792,21.003557031936964,1193.9798680000001,3486.632064,13000.0,54000.0,0.0,0.0
1000,toolagent,transparent-local,transparent,local_nvme,35257.0,35.257,0.787,0.210486,17.3999,20.385856191,2.985956191,17.160766389462008,868.555593,2924.779097,8264.522,56291.699,17280496.397,17280.496397
1000,toolagent,transparent-remote,transparent,remote_nof,35257.0,35.257,0.787,0.210486,17.3999,17.564530046,0.164630046,0.946155127328318,72.544572,225.434721,3304.742,20988.721,6572549.071,6572.549071
