scenario,case_id,mode,target,trials,median_operations,median_p50_latency_us,median_p95_latency_us,median_p99_latency_us,median_operation_rate,median_produce,median_reuse,median_evict,median_request_count,median_request_hit_rate,median_block_hit_rate,median_request_p50_latency_us,median_request_p95_latency_us,median_request_arrival_lag_p50_us,median_request_arrival_lag_p95_us,median_request_arrival_lag_max_us,median_storage_wait_us,median_replay_scale,median_scheduled_span_us,median_processing_wall_us,median_completion_lag_us,median_local,median_remote
conversation,direct-local,direct,local_nvme,3,27867.0,598.89,1008.411,1095.72,2110.089953,13705.0,457.0,13705.0,500.0,0.914,0.032269,16524.227,86987.002,252571.965,1027175.049,1220034.863,13206545.988,10.0,16500000.0,17474055.972,974055.972,27867.0,0.0
conversation,direct-remote,direct,remote_nof,3,27867.0,181.97,338.62,361.22,5771.136283,13705.0,457.0,13705.0,500.0,0.914,0.032269,6388.064,32324.223,53789.014,182087.79,290469.58,4828685.138,10.0,16500000.0,16593528.512,93528.512,0.0,27867.0
conversation,no_store,no_store,,3,27867.0,1000.0,1000.0,1000.0,1967.730547,13705.0,457.0,13705.0,500.0,0.914,0.032269,18000.0,98000.0,291659.592,868732.847,1106775.67,0.0,10.0,16500000.0,17377196.166,877196.166,0.0,0.0
conversation,transparent-local,transparent,local_nvme,3,27867.0,600.86,1072.381,1159.551,1971.441018,13705.0,457.0,13705.0,500.0,0.914,0.032269,17598.154,90891.161,313863.671,1373721.088,1609038.289,14135345.537,10.0,16500000.0,17876923.575,1376923.575,27867.0,0.0
conversation,transparent-remote,transparent,remote_nof,3,27867.0,212.8,388.72,414.23,5066.502562,13705.0,457.0,13705.0,500.0,0.914,0.032269,7180.602,37471.171,61606.688,205434.27,329660.199,5500243.937,10.0,16500000.0,16609547.8,109547.8,0.0,27867.0
toolagent,direct-local,direct,local_nvme,3,17460.0,413.201,1012.22,1091.121,2085.765057,7695.0,2070.0,7695.0,500.0,0.796,0.211982,8539.235,57557.311,636978.142,956235.096,1204450.418,8371029.104,10.0,9000000.0,9964071.261,964071.261,17460.0,0.0
toolagent,direct-remote,direct,remote_nof,3,17460.0,168.63,327.2,356.6,5915.233839,7695.0,2070.0,7695.0,500.0,0.796,0.211982,3132.169,19727.593,58419.398,175508.377,284731.039,2951700.723,10.0,9000000.0,9159150.607,159150.607,0.0,17460.0
toolagent,no_store,no_store,,3,17460.0,1000.0,1000.0,1000.0,1788.018433,7695.0,2070.0,7695.0,500.0,0.796,0.211982,13000.0,54000.0,512743.086,1148493.376,1411960.095,0.0,10.0,9000000.0,10426008.482,1426008.482,0.0,0.0
toolagent,transparent-local,transparent,local_nvme,3,17460.0,373.0,990.86,1117.501,2075.476087,7695.0,2070.0,7695.0,500.0,0.796,0.211982,8117.823,54648.647,558352.475,900133.025,1091878.343,8412527.665,10.0,9000000.0,10045800.24,1045800.24,17460.0,0.0
toolagent,transparent-remote,transparent,remote_nof,3,17460.0,171.87,386.141,412.57,5165.779329,7695.0,2070.0,7695.0,500.0,0.796,0.211982,3373.706,24100.081,65186.137,196551.119,312467.382,3379935.318,10.0,9000000.0,9181604.698,181604.698,0.0,17460.0
