case_id,scenario,requests,trial,path,rc,tokens,total_io_time_s,qps,hit_rate_pct,replay_scale,scheduled_span_s,completion_lag_s,arrival_lag_p50_ms,arrival_lag_p95_ms,arrival_lag_max_ms,request_wall_avg_ms,request_wall_p50_ms,request_wall_p95_ms,request_wall_p99_ms,request_io_avg_ms,request_io_p50_ms,request_io_p95_ms,request_io_p99_ms,read_count,read_bandwidth_mb_s,read_p50_ms,read_p95_ms,read_p99_ms,write_count,write_bandwidth_mb_s,write_p50_ms,write_p95_ms,write_p99_ms,max_pages,written_pages,sync_count,elapsed_s,cpu_pct,max_rss_kb,time_exit_status,loaded_requests
conversation-r100-t1-local,conversation,100,1,local,0,1561500,148.597,0.67,3.26,1.0,33.0,115.597,43520.452,91292.478,115510.387,1485.932,1032.279,4113.418,8817.123,1485.509,1031.995,4112.011,8814.735,99,1515.03,35.372,35.802,35.929,2935,1085.09,47.13,60.265,74.28,64,2935,2935,148.92000000000002,62.0,140612,0,100
conversation-r100-t1-remote,conversation,100,1,remote,0,1561500,68.986,1.45,3.26,1.0,33.0,35.986,13929.994,24978.035,35931.0,689.82,475.153,1867.875,3795.539,689.314,474.812,1866.406,3792.701,99,1500.52,35.894,41.048,42.667,2935,2406.81,21.868,26.113,31.941,64,2935,2935,69.3,54.0,134488,0,100
conversation-r100-t2-local,conversation,100,2,local,0,1561500,150.261,0.67,3.26,1.0,33.0,117.261,44685.304,92266.901,117176.908,1502.571,1075.504,4290.596,8978.597,1502.141,1075.222,4289.418,8976.264,99,1562.46,34.062,35.027,39.975,2935,1072.02,47.313,60.998,74.427,64,2935,2935,150.57999999999998,60.0,152620,0,100
conversation-r100-t2-remote,conversation,100,2,remote,0,1561500,68.622,1.46,3.26,1.0,33.0,35.622,13607.932,24672.37,35567.166,686.186,471.715,1934.149,3772.957,685.681,471.396,1932.705,3770.067,99,1541.36,35.301,39.163,40.52,2935,2416.77,21.908,25.989,28.898,64,2935,2935,68.94,54.0,134924,0,100
conversation-r100-t3-local,conversation,100,3,local,0,1561500,146.821,0.68,3.26,1.0,33.0,113.821,43287.861,90890.542,113735.22,1468.17,1009.072,3901.191,8629.549,1467.755,1008.78,3900.079,8627.221,99,1515.8,35.141,36.763,36.881,2935,1098.53,46.791,58.607,73.835,64,2935,2935,147.14,62.0,131924,0,100
conversation-r100-t3-remote,conversation,100,3,remote,0,1561500,68.962,1.45,3.26,1.0,33.0,35.962,13604.515,24989.09,35906.981,689.582,481.685,1904.515,3887.969,689.056,481.323,1903.062,3885.0,99,1509.31,36.403,39.183,41.354,2935,2407.0,21.948,25.986,28.354,64,2935,2935,69.28,55.0,135796,0,100
toolagent-r100-t1-local,toolagent,100,1,local,0,988814,89.065,1.12,24.27,1.0,15.0,74.065,42277.237,66183.815,73812.743,890.62,474.452,2455.112,4295.237,890.333,474.237,2454.337,4293.952,473,1654.11,32.04,35.139,37.625,1476,1073.97,47.2,63.305,75.25,64,1476,1476,89.42,68.0,141620,0,100
toolagent-r100-t1-remote,toolagent,100,1,remote,0,988814,48.33,2.07,24.27,1.0,15.0,33.33,18884.902,29489.268,33115.742,483.274,407.895,1171.534,1972.981,482.936,407.686,1170.648,1971.527,473,1651.52,31.941,37.351,40.63,1476,2403.21,21.91,26.477,31.467,64,1476,1476,48.69,66.0,130632,0,100
toolagent-r100-t2-local,toolagent,100,2,local,0,988814,88.193,1.13,24.27,1.0,15.0,73.193,41425.034,65555.855,72937.512,881.899,473.056,2517.213,4340.883,881.616,472.835,2516.55,4339.712,473,1655.43,32.26,34.203,34.891,1476,1086.64,47.339,61.704,75.182,64,1476,1476,88.55,68.0,147976,0,100
toolagent-r100-t2-remote,toolagent,100,2,remote,0,988814,47.581,2.1,24.27,1.0,15.0,32.581,18374.556,28733.405,32375.474,475.776,398.47,1165.591,2038.722,475.457,398.238,1164.678,2037.235,473,1686.72,31.283,36.219,38.766,1476,2434.81,21.599,26.174,31.983,64,1476,1476,47.94,66.0,136476,0,100
toolagent-r100-t3-local,toolagent,100,3,local,0,988814,89.093,1.12,24.27,1.0,15.0,74.093,42807.651,66215.862,73835.629,890.904,481.468,2558.822,4324.026,890.626,481.253,2558.123,4322.852,473,1643.91,32.336,34.809,35.319,1476,1074.93,47.267,63.173,77.14,64,1476,1476,89.45,67.0,143420,0,100
toolagent-r100-t3-remote,toolagent,100,3,remote,0,988814,47.797,2.09,24.27,1.0,15.0,32.797,18348.9,28841.358,32587.359,477.94,396.246,1144.904,2038.749,477.612,396.039,1144.11,2037.407,473,1695.9,31.154,36.396,38.238,1476,2412.77,21.972,25.989,28.656,64,1476,1476,48.15,66.0,129836,0,100
