scenario,trial,case_id,mode,target,operations,p50_latency_us,p95_latency_us,p99_latency_us,operation_rate,produce,reuse,evict,miss,request_count,request_hit_rate,block_hit_rate,miss_rate,request_p50_latency_us,request_p95_latency_us,request_arrival_lag_p50_us,request_arrival_lag_p95_us,request_arrival_lag_max_us,storage_wait_us,replay_scale,scheduled_span_us,processing_wall_us,completion_lag_us,cpu_utilization_pct,local,remote
conversation,1,direct-local,direct,local_nvme,565798,430.97,1037.551,1129.621,2082.421341,277298,11202,277298,0,12031,0.931095,0.038828,0.0,12969.409,73535.334,,,,271701979.246021,0.0,,,,,565798,0
conversation,1,direct-remote,direct,remote_nof,565798,171.24,249.98,262.44,6362.798738,277298,11202,277298,0,12031,0.931095,0.038828,0.0,4239.011,24364.328,,,,88922818.924001,0.0,,,,,0,565798
conversation,1,no_store,no_store,,565798,1000.0,1000.0,1000.0,1961.171577,277298,11202,277298,0,12031,0.931095,0.038828,0.0,14000.0,78000.0,,,,0.0,0.0,,,,,0,0
conversation,1,transparent-local,transparent,local_nvme,565798,426.26,1053.38,1134.92,2018.675595,277298,11202,277298,0,12031,0.931095,0.038828,0.0,13396.206,74981.289,,,,280281785.404019,0.0,,,,,565798,0
conversation,1,transparent-remote,transparent,remote_nof,565798,173.56,299.42,314.67,5598.16914,277298,11202,277298,0,12031,0.931095,0.038828,0.0,4858.801,27563.91,,,,101068400.377998,0.0,,,,,0,565798
conversation,2,direct-local,direct,local_nvme,565798,433.77,1015.38,1104.681,2107.276058,277298,11202,277298,0,12031,0.931095,0.038828,0.0,12922.868,72720.206,,,,268497332.33203,0.0,,,,,565798,0
conversation,2,direct-remote,direct,remote_nof,565798,172.84,255.429,267.831,6291.491303,277298,11202,277298,0,12031,0.931095,0.038828,0.0,4284.162,24629.717,,,,89930665.521001,0.0,,,,,0,565798
conversation,2,no_store,no_store,,565798,1000.0,1000.0,1000.0,1961.171577,277298,11202,277298,0,12031,0.931095,0.038828,0.0,14000.0,78000.0,,,,0.0,0.0,,,,,0,0
conversation,2,transparent-local,transparent,local_nvme,565798,431.35,1052.361,1139.26,2021.346003,277298,11202,277298,0,12031,0.931095,0.038828,0.0,13362.904,75483.558,,,,279911504.068018,0.0,,,,,565798,0
conversation,2,transparent-remote,transparent,remote_nof,565798,173.721,298.59,315.38,5604.336654,277298,11202,277298,0,12031,0.931095,0.038828,0.0,4840.061,27672.826,,,,100957175.651,0.0,,,,,0,565798
conversation,3,direct-local,direct,local_nvme,565798,434.5,1015.74,1097.761,2112.01146,277298,11202,277298,0,12031,0.931095,0.038828,0.0,12769.378,72843.779,,,,267895326.689024,0.0,,,,,565798,0
conversation,3,direct-remote,direct,remote_nof,565798,176.12,259.271,273.221,6224.443971,277298,11202,277298,0,12031,0.931095,0.038828,0.0,4330.662,24823.646,,,,90899364.288002,0.0,,,,,0,565798
conversation,3,no_store,no_store,,565798,1000.0,1000.0,1000.0,1961.171577,277298,11202,277298,0,12031,0.931095,0.038828,0.0,14000.0,78000.0,,,,0.0,0.0,,,,,0,0
conversation,3,transparent-local,transparent,local_nvme,565798,423.281,1061.64,1164.71,2020.132894,277298,11202,277298,0,12031,0.931095,0.038828,0.0,13268.208,75662.087,,,,280079593.569018,0.0,,,,,565798,0
conversation,3,transparent-remote,transparent,remote_nof,565798,172.9,294.9,309.1,5665.76916,277298,11202,277298,0,12031,0.931095,0.038828,0.0,4722.194,27366.813,,,,99862522.462005,0.0,,,,,0,565798
