scenario,trial,case_id,mode,target,operations,p50_latency_us,p95_latency_us,p99_latency_us,operation_rate,produce,reuse,evict,miss,request_count,request_hit_rate,block_hit_rate,miss_rate,request_p50_latency_us,request_p95_latency_us,request_arrival_lag_p50_us,request_arrival_lag_p95_us,request_arrival_lag_max_us,storage_wait_us,replay_scale,scheduled_span_us,processing_wall_us,completion_lag_us,cpu_utilization_pct,local,remote
toolagent,1,direct-local,direct,local_nvme,710336,372.61,1034.791,1135.62,2090.178021,300720,108896,300720,0,23608,0.816206,0.265849,0.0,7328.196,49449.231,,,,339844737.128995,0.0,,,,,710336,0
toolagent,1,direct-remote,direct,remote_nof,710336,174.13,255.39,266.11,6163.409465,300720,108896,300720,0,23608,0.816206,0.265849,0.0,2734.861,16302.829,,,,115250496.347005,0.0,,,,,0,710336
toolagent,1,no_store,no_store,,710336,1000.0,1000.0,1000.0,1734.15101,300720,108896,300720,0,23608,0.816206,0.265849,0.0,13000.0,52000.0,,,,0.0,0.0,,,,,0,0
toolagent,1,transparent-local,transparent,local_nvme,710336,377.89,1046.95,1152.511,2049.112817,300720,108896,300720,0,23608,0.816206,0.265849,0.0,7468.692,50275.376,,,,346655388.662971,0.0,,,,,710336,0
toolagent,1,transparent-remote,transparent,remote_nof,710336,170.46,297.53,312.271,5649.526366,300720,108896,300720,0,23608,0.816206,0.265849,0.0,2773.072,18116.484,,,,125733725.984004,0.0,,,,,0,710336
toolagent,2,direct-local,direct,local_nvme,710336,371.07,1027.1,1127.951,2109.225948,300720,108896,300720,0,23608,0.816206,0.265849,0.0,7262.022,49046.957,,,,336775678.578991,0.0,,,,,710336,0
toolagent,2,direct-remote,direct,remote_nof,710336,169.891,253.2,263.14,6250.507308,300720,108896,300720,0,23608,0.816206,0.265849,0.0,2673.741,16061.35,,,,113644535.550002,0.0,,,,,0,710336
toolagent,2,no_store,no_store,,710336,1000.0,1000.0,1000.0,1734.15101,300720,108896,300720,0,23608,0.816206,0.265849,0.0,13000.0,52000.0,,,,0.0,0.0,,,,,0,0
toolagent,2,transparent-local,transparent,local_nvme,710336,372.62,1070.07,1163.411,2041.621114,300720,108896,300720,0,23608,0.816206,0.265849,0.0,7418.564,50809.973,,,,347927436.266993,0.0,,,,,710336,0
toolagent,2,transparent-remote,transparent,remote_nof,710336,170.92,296.26,311.389,5655.174918,300720,108896,300720,0,23608,0.816206,0.265849,0.0,2774.561,17994.168,,,,125608139.492008,0.0,,,,,0,710336
toolagent,3,direct-local,direct,local_nvme,710336,372.49,1004.59,1102.321,2142.099211,300720,108896,300720,0,23608,0.816206,0.265849,0.0,7222.804,48038.063,,,,331607423.37499,0.0,,,,,710336,0
toolagent,3,direct-remote,direct,remote_nof,710336,169.69,251.24,261.58,6265.502902,300720,108896,300720,0,23608,0.816206,0.265849,0.0,2670.21,16067.216,,,,113372543.455003,0.0,,,,,0,710336
toolagent,3,no_store,no_store,,710336,1000.0,1000.0,1000.0,1734.15101,300720,108896,300720,0,23608,0.816206,0.265849,0.0,13000.0,52000.0,,,,0.0,0.0,,,,,0,0
toolagent,3,transparent-local,transparent,local_nvme,710336,372.35,1066.13,1158.51,2042.892777,300720,108896,300720,0,23608,0.816206,0.265849,0.0,7436.062,50810.786,,,,347710857.778979,0.0,,,,,710336,0
toolagent,3,transparent-remote,transparent,remote_nof,710336,172.189,293.15,311.03,5665.40859,300720,108896,300720,0,23608,0.816206,0.265849,0.0,2794.17,18003.682,,,,125381248.095004,0.0,,,,,0,710336
